Gene_Name,BreitmeyerC1R1,BreitmeyerC1R2,BreitmeyerC1R3,BreitmeyerC2R1,BreitmeyerC2R2,BreitmeyerC2R3,GuaquetaR1,GuaquetaR2,GuaquetaR3,GuaquetaR4,Hammonds1,Hammonds2,Hammonds3,Hammonds4,Hammonds5,Penney1,Penney2,Penney3,Penney4,Penney5,Penney6
TSPAN6,4950,3663,5697,4924,5057,651,128,334,104,293,7,5,1,4,3,4,2,0,3,0,5
TNMD,153,421,292,639,589,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPM1,1535,1150,1512,1249,1486,1576,208,356,185,411,1060,812,634,650,682,391,451,460,423,324,364
SCYL3,820,1157,1063,1829,726,519,120,121,82,111,621,547,513,593,594,155,163,177,181,103,192
FGR,5,13,3,18,5,4,600,2566,434,2374,3459,3426,1540,652,550,365,396,475,320,138,272
CFH,669,401,182,41,78,5,50,25,53,2,37,30,37,27,43,1,1,3,1,3,1
FUCA2,1309,1638,1966,2515,1689,1333,1395,2740,989,2552,6057,5183,4397,3676,3981,1471,1595,1567,1523,1082,1510
GCLC,1311,1450,1639,2114,1341,1713,2302,3719,2479,4137,3623,2810,3100,3406,3308,4492,4330,4760,3870,1678,3281
NFYA,5754,2314,4927,3695,2957,2820,483,684,480,690,2258,1848,1604,1541,1655,575,642,631,686,292,550
STPG1,201,286,352,676,385,266,24,38,22,46,72,48,50,58,73,6,5,11,7,6,13
NIPAL3,450,600,743,952,407,271,156,197,48,151,1121,961,984,823,1034,47,53,64,46,18,30
LAS1L,3743,3537,5015,5387,3831,2928,489,757,290,764,1365,1130,962,706,728,273,298,298,256,167,246
ENPP4,199,331,433,439,295,61,113,264,145,246,3,8,6,0,1,131,147,174,183,68,150
SEMA3F,846,785,505,318,499,2439,3,1,1,0,3,2,1,0,1,0,0,0,0,0,0
CFTR,46,63,250,182,107,520,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANKIB1,3042,3661,3888,4791,2222,3429,656,808,561,757,1648,1236,1201,1224,1246,338,408,463,456,115,328
CYP51A1,172,78,144,255,192,1382,34,51,25,117,16825,12686,4606,1221,1097,2274,2481,2925,2476,1330,1988
KRIT1,2776,3167,3287,4084,2159,1826,48,64,26,56,989,946,809,940,1012,251,270,294,283,108,265
RAD52,871,594,1176,1453,711,801,113,125,100,124,215,237,205,214,286,71,74,72,75,20,69
BAD,1113,702,903,816,813,1103,160,280,178,193,572,653,617,695,612,46,52,63,60,40,57
LAP3,2250,1503,2200,2034,1774,2330,1400,3525,1219,2530,6980,6119,4318,3211,3098,1677,1783,2125,1775,1361,1618
CD99,3640,2424,2584,2273,1626,4341,938,1460,767,908,3938,3133,2289,1872,1846,3322,3674,3933,4101,3575,3985
HS3ST1,362,226,212,91,76,44,187,630,100,542,808,819,1140,1329,1343,197,192,168,281,189,262
AOC1,8,1,0,2,1,3,25,38,29,59,681,663,742,768,784,23,27,25,16,0,9
WNT16,14,2,3,0,0,3,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1
HECW1,160,474,529,462,148,66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MAD1L1,4551,5352,7188,10675,8548,5459,7,19,18,7,1809,1800,1579,1413,1471,456,343,560,548,453,552
LASP1,7148,4297,5599,7623,5340,12899,7500,12028,5162,11603,29356,25943,23547,20827,20489,7590,6075,8231,8036,3597,6687
SNX11,432,458,478,584,268,322,443,708,288,580,3746,3460,2941,2615,2434,504,627,697,661,514,680
TMEM176A,160,64,122,64,10,1,266,273,364,404,467,497,618,835,909,76,128,121,85,61,87
M6PR,2322,2249,2812,2890,2561,1491,4269,7339,4825,5940,23711,21319,20273,21198,20405,5033,5429,5963,6403,2361,5902
KLHL13,363,574,755,674,385,161,2,4,0,0,21,39,90,175,133,96,109,84,85,48,89
CYP26B1,147,274,257,307,213,79,0,1,2,1,0,0,0,6,6,0,0,0,0,1,0
ICA1,238,700,525,1176,532,1535,19,42,4,23,228,212,169,149,175,238,214,287,341,219,304
DBNDD1,597,574,566,909,773,1966,10,21,13,23,3,3,1,0,0,6,2,2,0,1,0
ALS2,3354,4588,4970,7282,3297,2309,409,461,512,386,1031,875,814,828,801,338,369,371,478,107,357
CASP10,40,23,26,30,20,102,188,279,116,153,800,673,709,938,1071,91,97,91,106,36,96
CFLAR,2517,2710,2973,3085,919,1396,2454,2801,2285,3161,3971,3569,4030,4161,4429,806,854,948,939,306,775
TFPI,1922,1244,1202,1196,1306,1882,237,429,179,130,24,11,27,28,16,148,203,212,261,125,197
NDUFAF7,986,1393,1653,1773,900,620,139,207,90,160,458,341,351,313,340,98,104,109,94,73,90
RBM5,7912,11549,13023,16311,6008,3313,1059,1308,1030,1158,2881,2777,2594,2667,3352,862,914,1010,1063,606,912
MTMR7,263,917,818,765,231,198,1,1,2,0,0,1,0,0,1,5,8,13,4,7,8
SLC7A2,955,539,589,513,465,1086,199,215,212,157,6,2,2,2,3,39,61,38,52,20,52
ARF5,2378,1343,2181,1564,1455,2861,275,517,288,483,4211,4256,3531,3380,3275,1005,980,1081,1122,1049,1040
SARM1,928,1173,1513,1256,360,221,83,91,174,93,125,158,161,254,192,26,20,18,24,3,13
POLDIP2,2935,2015,2687,2483,1878,3123,617,1341,527,1251,3762,3496,2889,2551,2578,845,910,1098,903,585,899
PLXND1,2669,2747,2516,3544,3194,7711,7522,11400,4119,9360,14339,17232,16563,15688,16515,4118,4136,4516,5873,1989,4862
AK2,2594,2951,3168,4402,2999,2402,726,1025,286,997,6904,5924,4210,3486,3162,567,573,640,556,299,534
CD38,7,7,4,11,18,15,30,22,28,85,27,34,11,15,13,3,3,3,7,2,5
FKBP4,5302,2459,4894,4507,7168,8817,1609,1660,839,1758,5674,5333,3414,2538,2231,475,429,529,482,300,512
KDM1A,25627,28198,33577,45486,29611,18283,643,809,474,700,2660,2223,1753,1577,1680,497,532,590,601,274,503
RBM6,7268,8031,9340,12171,6689,6383,828,1016,652,818,3407,3289,2618,2411,3912,499,442,535,504,213,466
CAMKK1,164,204,286,357,224,233,186,317,250,226,895,1003,712,639,493,390,363,499,477,325,446
RECQL,2408,1832,2752,2741,2133,1520,770,1282,585,1192,3393,2334,2047,1854,2038,493,539,532,556,197,447
HSPB6,10,13,12,15,19,52,0,1,0,1,2,1,1,0,3,0,0,0,1,0,1
ARHGAP33,2057,2149,3230,3124,778,1051,2,7,9,4,186,223,160,50,146,34,23,24,26,21,21
NDUFAB1,3487,1910,3385,2849,4099,1265,113,314,135,379,1795,1619,1046,845,820,323,329,358,292,334,343
PDK4,109,70,76,22,66,149,50,581,25,124,14,28,673,3515,3701,104,117,111,204,87,202
SLC22A16,8,0,0,0,10,2,0,0,0,0,4,2,3,0,0,1,1,2,0,0,0
ZMYND10,46,37,61,36,44,93,1,2,0,0,7,22,16,6,10,2,7,7,2,3,5
ABCB5,0,2,2,0,2,1,3,20,1,6,0,0,0,0,0,2,3,2,6,1,6
ARX,6,12,15,9,55,42,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
SLC25A13,3413,2562,3757,4566,3145,2397,440,740,393,756,1649,1587,1343,1118,1077,545,614,635,631,315,576
ST7,1411,2110,2237,2036,952,299,147,234,117,145,1216,1024,990,854,847,159,158,191,165,80,147
CDC27,4953,4626,5072,5918,3567,1405,681,1031,461,1007,2230,1593,1300,1282,1387,617,664,672,797,271,596
SLC4A1,0,3,2,3,13,54,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0
CALCR,59,32,47,84,34,23,6,2,0,0,11,5,15,27,42,2,1,1,1,5,2
HCCS,1174,809,990,966,1060,702,581,937,447,966,3615,2679,2183,2469,2429,292,331,337,360,232,324
DVL2,3159,2618,3663,4583,1735,2547,599,789,833,686,1350,1517,1149,1079,1225,457,413,520,488,259,527
PRSS22,2,5,1,0,11,169,0,28,1,4,0,0,0,0,0,1,1,4,1,0,1
UPF1,5374,4558,6293,8433,4031,6921,1843,2418,1600,2219,5957,6709,5776,5414,5100,1300,1299,1478,1769,776,1642
SKAP2,770,1113,3050,1861,1692,144,1658,1908,878,1524,8544,5908,4446,3547,3473,1323,1376,1617,1555,761,1235
SLC25A5,7920,4387,6439,6009,7006,9212,4197,8448,3659,8241,36958,37547,35666,36437,37018,5291,5958,6102,5994,5115,6231
HOXA11,58,29,0,1,1,3,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0
POLR2J,3353,1528,2352,1776,2965,2799,100,147,85,178,1630,1656,1523,1399,1324,302,350,345,348,302,340
DHX33,2342,2330,2878,3862,2067,2673,125,281,95,254,689,646,480,356,377,153,184,185,207,55,185
MEOX1,284,89,58,53,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THSD7A,3956,9045,8193,8856,3272,713,2,4,0,1,1,0,0,1,0,4,3,5,1,2,0
LIG3,5184,6129,6673,9019,4317,5552,219,403,157,278,924,794,605,498,466,183,158,199,200,82,187
RPAP3,3147,3335,3609,4831,4178,6708,293,480,245,405,1181,868,733,802,833,347,390,383,392,160,329
ACSM3,30,27,34,37,12,75,6,2,2,4,4,1,4,4,5,0,5,2,0,0,5
CIAPIN1,2340,1953,2519,2969,1911,1432,332,527,227,531,1627,1438,1101,945,959,336,422,407,448,298,422
SPPL2B,2380,3621,4047,5223,1379,2883,171,257,154,240,612,852,798,737,826,127,121,121,120,68,109
COPZ2,86,33,38,19,14,28,7,17,0,15,29,40,40,32,31,3,3,4,3,1,2
PRKAR2B,1127,1142,2076,1893,1839,1293,2,1,16,1,1945,1597,1098,497,481,103,120,130,118,49,116
MSL3,1966,1488,2039,1910,1630,1979,703,949,483,845,2998,2531,2327,2446,2923,479,570,532,622,319,504
CREBBP,19617,20470,28389,31842,14977,11217,2128,1832,1460,1727,4412,4416,4345,4527,4322,576,626,701,859,128,569
MPO,30,0,4,0,10,69,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0
PON1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCFC2,1415,1481,1702,2023,1407,2532,95,145,64,126,432,311,281,367,355,105,97,106,99,64,92
WDR54,658,785,1172,1087,893,583,2,7,0,6,86,115,86,60,79,28,21,33,24,23,34
CROT,440,470,524,654,382,835,105,128,94,113,357,273,270,259,284,79,89,73,74,39,72
ABCB4,162,311,166,302,116,164,1,0,0,7,445,344,249,211,158,201,210,242,388,140,284
KMT2E,7612,9885,10882,12980,6469,7803,1295,1326,934,1137,3649,3090,3030,3134,3492,640,634,707,797,331,523
RHBDD2,1893,1928,2148,2335,1124,791,450,466,589,341,1337,1524,1766,1948,1680,374,408,412,386,257,354
SOX8,854,602,701,602,659,1169,3,10,2,0,1,1,9,5,14,18,12,17,27,11,29
IBTK,3759,3281,3840,4905,2510,778,798,1409,430,1514,5171,3715,2834,2498,2436,1168,1251,1326,1272,417,1080
ZNF195,3273,4470,4360,5426,2726,1915,173,228,123,206,688,561,477,406,404,134,148,177,192,112,144
MYCBP2,8954,11917,14441,16416,5315,3910,3284,3680,1827,3543,8527,7190,6352,4966,4539,937,1123,1079,1410,269,938
FBXL3,1645,1761,1680,1621,1312,1674,510,664,378,737,1428,1133,1175,1349,1376,380,379,479,394,212,379
ITGAL,4,5,8,5,11,24,3404,3487,1217,4755,12844,12179,11062,11248,11341,2382,1979,2740,3129,1109,2578
PDK2,1049,726,1092,887,551,887,189,320,124,224,1016,1154,1396,1392,1517,177,169,173,207,149,196
ITGA3,279,225,341,550,414,1196,97,392,17,329,15,15,11,15,12,306,299,299,273,113,199
ZFX,4793,5452,5802,6100,3468,2424,645,783,374,787,1887,1484,1420,1543,1649,416,453,471,552,136,363
LAMP2,1753,1791,1897,2192,1047,484,9325,12514,8920,10606,12087,10441,11831,15288,15028,3428,3888,4036,4091,2005,3673
GGNBP2,3315,4433,4409,5687,3365,3322,758,1064,702,894,1923,1591,1275,1314,1488,690,676,745,783,522,616
ITGA2B,184,411,320,358,198,404,3,1,3,1,48,39,22,12,13,0,4,0,1,0,0
ASB4,91,176,67,52,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDE1,1964,1630,1927,1807,1466,571,1082,1568,603,1066,4266,4293,5127,5262,5683,627,732,709,774,510,778
CRLF1,67,114,128,38,21,206,0,0,0,1,2,6,1,1,0,1,0,1,2,0,0
OSBPL7,490,531,649,943,332,572,150,154,73,126,546,683,559,428,481,124,87,130,109,40,105
TMEM98,3049,2246,2868,3012,1640,2050,0,3,0,0,4,1,0,0,1,0,0,0,0,0,0
YBX2,297,335,575,492,314,1683,0,0,0,0,4,5,3,0,2,2,0,0,0,3,0
KRT33A,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K14,704,811,765,1140,650,742,273,476,390,343,545,527,524,577,645,165,172,182,122,67,132
ABCC8,225,811,770,1551,241,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CCL18,0,0,0,0,0,7,18,89,405,95,0,0,0,0,0,0,0,0,0,0,1
CCL3,3,12,2,8,7,1,180,1045,415,3752,1439,1611,631,1580,1155,757,955,951,913,862,924
SYNRG,4171,4621,6023,7367,3249,2677,1005,1379,790,1216,2493,2385,2195,2152,2137,620,677,750,736,244,682
CACNG3,13,43,53,40,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM132A,5238,5933,6177,7312,2281,2184,259,392,162,490,51,75,80,37,51,71,38,66,56,45,55
AP2B1,10663,9092,13120,13756,8349,9324,1374,2193,1216,1687,5671,4588,4495,4517,4338,1156,1351,1372,1529,625,1295
TAC1,134,97,148,86,195,117,0,0,1,0,0,0,0,0,0,0,3,0,2,1,2
ZNF263,2094,2362,2286,2183,1399,2016,493,656,477,574,1196,1131,907,972,1118,347,336,397,441,214,396
CX3CL1,441,586,374,434,322,114,2,7,1,27,0,0,0,0,0,0,0,2,1,0,0
SPATA20,892,664,804,735,492,1305,469,841,272,653,2627,3255,2996,2483,2803,88,78,112,81,61,101
CACNA1G,2658,2707,3344,2770,1008,624,21,26,16,41,3,2,1,2,4,2,1,0,0,1,1
TNFRSF12A,246,215,188,334,1265,5437,152,528,183,771,523,506,383,236,216,152,99,136,127,95,140
DLX6,26,16,9,0,5,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K9,1213,2007,2647,3633,1914,1437,107,144,108,205,354,316,293,282,251,115,117,112,154,56,108
RALA,3317,1912,2823,2242,2904,1866,1236,1724,1629,1327,1420,1077,1089,1448,1521,486,519,546,530,301,482
BAIAP2L1,687,825,823,1482,1458,5294,3,8,14,8,1,0,0,0,0,9,12,7,19,4,9
KDM7A,2030,2786,3085,2990,1219,1080,818,1029,556,976,3066,2391,2453,3051,3782,173,207,247,199,54,181
ETV1,2578,3453,3034,3933,2649,768,48,20,4,17,745,636,368,48,47,47,51,43,35,15,46
AGK,1311,1516,1587,1826,953,901,130,229,88,241,1003,871,630,459,504,176,197,227,254,87,193
ALDH3B1,9,21,11,28,20,32,630,966,419,731,2279,2324,2065,1840,2087,338,355,414,372,246,393
TTC22,8,10,3,1,7,51,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
PHTF2,2216,2433,1952,2892,1623,1734,385,778,393,730,1666,1144,969,1217,1149,409,422,454,385,174,312
CCL26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARP2,2132,2393,2597,3324,1426,1549,183,236,170,317,623,542,461,469,504,41,49,48,79,14,49
USH1C,455,379,150,177,74,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GGCT,2215,1183,1947,1669,2173,1101,87,119,56,112,1728,1534,1001,827,836,571,570,592,511,520,554
DBF4,4117,3014,3671,4127,3985,1812,103,134,188,174,943,561,452,351,455,152,172,207,155,98,144
TBXA2R,35,12,25,10,16,114,19,44,18,20,12,7,10,3,4,74,88,95,101,62,100
IFRD1,2855,2541,2624,3886,3301,3828,66,81,163,53,834,671,688,798,907,374,425,442,416,245,442
LGALS14,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COX10,1058,948,1123,1198,875,846,179,303,100,244,842,769,594,451,398,106,139,130,144,57,152
GTF2IRD1,2402,2903,2905,4152,1943,2860,124,211,150,153,154,230,237,299,321,149,143,156,127,89,141
PAF1,3637,2110,3944,3178,3092,2409,493,628,350,607,2223,1948,1738,1436,1612,510,439,606,577,513,600
VPS41,4070,4024,5265,5561,2879,3075,1183,1638,1048,1477,4279,3551,3267,3354,3500,911,1019,997,993,430,878
ARHGAP44,486,678,786,982,571,936,0,1,0,0,56,71,81,63,45,3,5,6,3,2,3
ELAC2,3984,3842,4991,5697,3187,2346,534,844,255,851,3673,3342,2411,1895,1834,645,687,773,750,455,766
SCIN,14,12,6,7,17,79,2,0,8,8,28,32,30,43,41,904,1018,1092,670,360,593
ARSD,465,725,656,648,204,327,470,789,369,573,4039,3983,3824,3222,3672,605,703,773,818,490,623
PNPLA4,456,320,480,410,327,401,85,102,76,98,610,603,534,566,577,77,84,90,79,44,94
MYH13,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADIPOR2,3315,2580,3482,4180,2246,1487,1006,1270,690,1054,6191,5157,4183,3401,3479,1032,1102,1205,1169,444,979
CDKL3,120,247,164,292,123,78,4,3,2,4,24,17,12,32,34,14,11,13,17,9,13
UPP2,3,14,7,3,6,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PRSS21,1,2,18,0,9,191,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MARK4,3645,3115,3846,4314,2752,3975,381,446,269,366,1438,1434,1772,1799,1960,240,198,231,282,128,243
PROM1,3332,6553,8946,9015,3242,2165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC124,4831,1958,3936,3058,5113,12926,589,945,521,788,2203,2009,1552,1271,1301,567,394,523,518,456,602
CEACAM21,22,13,11,4,22,24,55,67,43,58,439,313,367,324,417,58,68,55,88,78,96
PAFAH1B1,7752,8595,9879,10035,5548,3842,1531,2266,1064,2271,6391,4903,4415,4336,4537,1405,1604,1583,1659,757,1506
NOS2,124,110,228,185,173,61,0,1,0,0,0,0,0,2,4,0,1,3,0,1,0
DNAH9,254,270,387,468,189,117,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
SLC13A2,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS7,2641,2667,2756,2791,986,1598,4870,5765,3824,4922,10983,10787,9653,9298,8072,4693,4757,5377,5984,1755,4605
TRAPPC6A,367,303,408,409,343,1208,117,172,45,93,1052,1210,1051,944,781,217,211,252,254,217,261
MATK,70,106,78,115,182,738,255,1727,215,1498,57,35,25,67,42,2835,2375,3076,3118,2843,3177
CEACAM7,0,0,0,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD79B,31,20,22,18,42,96,0,0,0,1,0,0,0,0,0,5,2,6,5,4,7
SCN4A,35,212,162,839,296,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST7L,957,1587,1200,2379,904,642,103,168,43,149,445,320,285,301,280,70,67,68,75,27,64
TKTL1,94,107,186,197,166,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
PAX6,394,920,2132,1907,1500,268,0,0,0,0,0,0,0,1,0,2,2,5,2,4,0
RPUSD1,896,596,906,962,771,1192,226,375,190,339,865,1206,910,682,757,187,160,266,227,208,227
RHBDF1,1160,948,1066,1519,1034,2117,36,62,55,50,3,2,7,4,5,28,37,36,52,31,42
LUC7L,6610,6163,8933,10190,6438,10381,312,509,292,419,928,959,755,696,824,328,344,436,362,220,335
CACNA2D2,1403,3056,2906,4439,2417,4148,2,0,0,0,0,8,7,5,8,0,0,1,1,2,1
BAIAP3,365,545,951,665,1227,2019,2,5,18,1,7,25,8,4,13,4,1,4,6,4,2
TSR3,2573,1578,2721,1867,2182,2558,240,488,220,505,1531,1561,1194,1080,1137,270,195,288,270,271,303
PIGQ,1856,1424,1905,2306,691,1556,177,273,75,213,667,929,1045,1067,1195,127,132,153,147,106,129
TEAD3,1611,1097,1153,1582,668,2614,6,6,0,5,0,0,1,0,0,0,0,0,1,0,0
SELE,37,4,18,0,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC11,4474,6228,6467,10561,6116,4160,591,1083,395,1131,2299,2184,1528,1296,1140,393,405,435,394,212,416
FMO3,0,2,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYLIP,879,793,546,573,638,1844,173,186,266,98,244,225,361,962,1140,62,63,77,58,34,90
NOX1,0,4,0,0,0,0,1,9,6,1,0,0,0,3,1,8,17,11,13,4,38
E2F2,1186,1101,1548,2090,751,573,1,1,1,1,356,346,252,17,80,12,16,5,9,2,5
PSMB1,4208,3088,4599,4194,4668,3819,525,1192,427,1085,3501,3038,2358,2297,2258,808,969,891,863,794,898
SYN1,175,329,388,473,322,210,1,3,0,2,0,1,5,12,10,7,4,4,1,0,1
JARID2,7464,10433,12246,16262,10905,9554,691,888,594,623,1401,1422,1259,1357,1384,576,587,664,768,205,478
CDKL5,662,916,1738,1682,759,992,62,77,84,93,486,434,404,406,373,37,43,21,58,5,48
CAMK1G,93,130,152,206,84,135,4,40,20,12,0,0,1,1,0,1,2,1,0,1,0
CDK11A,97,167,107,213,109,158,11,22,9,7,1499,1174,1079,1091,1308,411,238,455,417,342,383
NADK,2527,2750,3269,4704,2720,2723,1014,1296,850,1110,4998,5487,5758,5950,6413,856,922,959,875,513,913
TFAP2B,7147,6419,7171,4841,1416,736,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TFAP2D,10,37,99,14,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLEC1,104,217,173,321,56,75,13,3,9,6,47,35,41,33,44,7,7,4,12,3,6
CYTH3,1784,2391,2533,3368,1527,1678,419,554,471,879,3201,3034,2172,2039,2016,672,689,775,942,306,821
ADAM22,1613,1877,1995,2131,987,1003,0,1,0,0,2,1,1,2,5,6,2,1,1,3,4
SYPL1,1226,884,1073,1001,917,401,542,904,522,767,2347,1906,1532,1192,1275,628,678,734,688,424,672
CYB561,262,311,343,470,266,320,91,146,49,99,89,87,130,169,212,22,26,23,28,14,26
SPAG9,9126,12064,17244,15256,8371,8420,2005,2979,2587,2916,4361,3548,3324,4280,4342,1832,1977,2046,2258,550,1699
CELSR3,3145,4856,6923,7571,2664,4022,31,31,16,18,43,55,60,32,34,6,12,12,17,21,17
AASS,4050,4432,5803,7231,2933,3256,14,2,2,0,39,29,32,37,40,5,3,4,3,1,7
PLEKHG6,166,212,258,495,221,621,6,1,6,6,4,5,14,6,11,12,9,12,16,6,14
SS18L2,515,352,544,575,608,341,95,115,72,114,659,515,463,421,431,138,182,200,176,158,151
MPND,1260,859,1336,1367,953,2959,139,345,51,198,621,743,653,667,722,109,80,107,123,115,100
MGST1,2188,1159,1549,2968,3064,3089,58,303,4,45,39,19,11,5,3,4,4,3,4,0,3
CRY1,1808,1497,2132,2033,1805,1379,161,242,196,249,585,499,474,622,552,144,169,198,202,134,186
PGLYRP1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NFIX,370,189,131,39,58,94,2,0,0,0,3,0,1,1,0,1,0,0,2,0,0
ST3GAL1,1421,1450,1490,2006,600,404,1400,2311,2009,2366,2746,2485,2370,2523,2741,1120,1262,1245,1719,622,1337
MMP25,74,69,94,29,282,1188,3,22,8,16,90,116,101,140,144,13,9,21,15,11,7
IL32,272,19,32,17,41,178,3,4,5,8,2,4,5,13,3,0,3,3,2,2,0
PKD1,5136,6717,7039,9535,3557,8268,591,742,398,756,1275,1659,1374,1362,1255,213,196,207,243,80,173
MAPK8IP2,581,876,1061,1104,675,230,1,2,3,1,16,21,27,25,24,5,7,12,7,4,4
MED24,4719,4579,6367,6999,3762,4528,580,898,343,930,2192,2295,1991,1668,1636,360,386,406,390,160,366
RHOBTB2,2101,1840,2473,2396,943,738,800,1859,366,2392,4898,5257,4435,4037,3978,622,458,803,809,451,761
HEATR5B,1956,2440,2651,3298,1208,679,424,619,262,643,1831,1663,1443,1409,1371,464,440,435,524,90,374
SEC62,6519,5634,6335,5987,6203,13253,1623,2420,1378,2137,5019,3632,3374,3358,3563,1456,1545,1702,1696,1675,1584
CSDE1,39763,39278,47057,62333,56068,20632,6096,8623,5871,7495,20197,16050,16245,17099,19647,5810,6198,6503,6834,2552,5941
UBE3C,4438,3104,3522,3645,1737,2638,953,1517,758,1449,4022,3363,2514,2024,1983,733,813,834,858,261,692
REV3L,3563,5480,5036,5671,2375,2660,546,577,539,555,1105,893,1120,1230,1283,257,266,272,253,64,240
TENM1,296,1179,672,312,98,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAX7,785,1412,1835,3192,1702,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASP2,15,27,18,45,35,45,0,0,0,2,0,0,0,0,0,3,11,9,13,1,7
IYD,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
FAM76A,890,966,1071,1664,1277,441,83,110,74,118,346,289,215,262,250,92,83,88,90,57,80
TRAF3IP3,4,1,11,3,5,0,201,163,76,132,4470,3524,2789,1950,2321,438,459,548,561,350,613
POMT2,1526,1711,1863,2430,782,633,215,329,296,238,473,569,454,326,384,127,139,140,132,66,144
VTA1,2572,2019,2675,2509,2373,2112,517,705,427,653,2334,1748,1447,1342,1240,528,571,570,531,284,497
MLXIPL,32,57,58,95,317,325,23,26,1,9,1619,2115,855,342,185,414,375,407,351,161,269
BAZ1B,20195,14323,26165,28553,17921,29234,1357,1919,1015,1692,5996,4465,3962,3290,3598,1336,1280,1519,1519,507,1172
RANBP9,3295,2981,3407,4048,2855,2061,584,812,566,788,3527,2683,2301,2367,2440,499,544,504,550,251,535
ETV7,3,2,1,7,5,10,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0
SPRTN,958,1384,1310,1927,1111,1140,127,169,92,150,540,456,406,502,470,158,135,172,145,82,148
DYRK4,436,478,455,565,270,464,577,913,446,489,1212,1301,1401,1651,1853,604,635,704,653,413,669
ZNF207,7510,11598,10001,13628,4880,1929,1128,1467,869,1353,7452,6227,4888,4424,4486,1150,1269,1299,1309,629,1162
UQCRC1,6632,3955,6727,5728,4627,5646,1705,3061,1295,2466,6737,7409,5768,4857,4740,1447,1578,1613,1443,1252,1568
STARD3NL,2739,1532,2064,1871,1803,854,408,581,353,538,1791,1334,1188,1126,1171,510,541,584,594,407,500
CD9,209,382,335,335,465,934,2919,4775,3962,4313,4050,4146,4055,7635,6028,2976,3141,3216,2066,1431,1825
HHATL,0,8,4,6,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCAPD2,11652,8178,15441,16925,10012,3974,460,575,265,395,4606,2907,3207,2002,3484,743,857,859,864,296,639
IFFO1,902,1007,1394,1735,771,616,693,716,325,598,2148,2513,2280,2073,2589,516,412,559,613,358,543
GIPR,46,119,68,49,34,150,64,52,5,10,343,449,364,320,574,9,5,7,7,5,0
PHF7,320,404,363,459,289,456,57,96,33,67,162,156,156,208,207,64,56,73,58,47,64
SEMA3G,221,417,407,565,132,287,7,27,1,19,30,26,25,15,23,9,1,8,8,2,7
NISCH,6898,8043,10283,14092,5717,8567,1616,1721,1242,1141,9114,10216,7986,6180,7571,1670,1624,1919,2251,1436,2231
STAB1,154,35,126,50,87,567,8425,8399,2061,4511,102162,149558,121758,94174,107138,22110,20396,24871,37717,15622,33455
FUZ,458,266,513,444,266,381,83,123,81,71,172,206,302,314,355,80,72,93,82,53,84
SLC6A13,13,16,36,44,17,56,0,1,0,1,2,0,0,2,3,0,0,0,0,0,1
