Gene_Name,BreitmeyerC1R1,BreitmeyerC1R2,BreitmeyerC1R3,BreitmeyerC2R1,BreitmeyerC2R2,BreitmeyerC2R3,GuaquetaR1,GuaquetaR2,GuaquetaR3,GuaquetaR4,Hammonds1,Hammonds2,Hammonds3,Hammonds4,Hammonds5,Penney1,Penney2,Penney3,Penney4,Penney5,Penney6
CEPT1,971,1803,1446,2859,1284,795,523,673,389,679,2193,1592,1761,1904,2081,442,414,557,513,241,491
CD101,159,281,257,305,153,38,94,89,2,150,2540,1822,1293,1106,1277,61,58,54,66,39,63
VTCN1,16,9,10,23,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGF,71,70,86,51,108,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP4B1,644,1248,1010,1594,621,326,105,173,57,188,714,648,411,376,324,95,113,124,97,81,82
NAPG,1487,1802,1714,2083,1092,854,189,312,124,316,657,547,441,516,589,214,253,254,238,104,222
SPIRE1,1556,2083,2325,2395,966,1070,1365,1464,1453,1262,1415,1228,1570,2013,1889,923,966,985,1162,402,974
PPHLN1,3383,3250,4132,4464,2950,2544,407,499,361,516,2478,2078,1628,1418,1411,356,405,398,377,211,363
FKBP11,665,1498,1030,2439,450,367,104,115,43,61,130,172,96,79,114,13,16,13,14,9,9
ARF3,2682,2735,3612,4661,1788,1047,1718,2429,792,2086,22570,19686,14732,11079,11297,3400,3194,3684,3858,1570,3283
TMEM106C,2172,997,1719,1448,1223,870,187,294,137,206,675,555,538,303,356,191,249,222,238,180,205
SLC38A2,13231,15474,15458,19881,12993,7978,4052,4404,2920,3720,5535,4723,3937,2614,2883,981,956,1017,938,372,681
YWHAQ,19333,10241,18119,13254,12865,17595,1025,2081,947,2085,5551,4103,3464,3499,3345,1906,2088,2189,2022,1158,1833
KIDINS220,9127,12206,14863,14569,6941,3491,2018,2211,1675,2176,5526,4490,4018,3805,3950,1074,1182,1199,1379,251,1105
GRHL1,69,127,144,161,94,1161,18,13,9,28,28,41,46,48,40,4,8,6,11,4,11
ROCK2,6586,6957,8404,9568,5436,7126,763,1081,629,1116,1577,1207,1107,1005,1193,528,570,608,713,176,564
RSAD2,22,31,31,27,1,9,42,24,9,50,72,110,101,135,194,90,70,146,96,95,92
MYCN,6558,5586,6922,6866,4699,8114,0,2,0,2,8,13,12,17,14,12,11,17,32,24,28
LPIN1,2004,2079,1942,4570,1425,2478,413,608,381,791,2183,2408,1150,934,927,670,783,818,708,360,623
CMPK2,48,45,60,24,46,31,118,294,46,208,638,729,611,679,570,185,173,331,223,224,160
IAH1,183,254,105,533,272,214,146,310,115,229,326,326,219,219,250,190,262,221,140,103,130
LDHA,7056,14325,5082,5990,6919,4401,4246,7275,960,4635,11909,8050,4450,3001,2810,1920,1969,1984,1643,1010,1515
SAA2,1,17,3,9,7,4,0,0,5,1,40,30,24,4,2,0,0,0,0,0,1
ANO3,35,46,23,36,89,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL6ST,4632,2721,2599,2560,1608,1369,1206,1595,1184,1206,5249,4374,4132,4060,3706,1000,1107,1261,1564,344,1224
FST,13268,19346,25329,28919,18571,5497,0,0,0,3,8,4,4,4,1,0,1,1,0,0,0
CFHR4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAV1,7188,8979,8353,15675,9036,4479,1397,1430,713,1566,3978,3787,3390,3431,3203,1212,1314,1230,1842,375,1142
CDC73,4083,4496,4318,6437,4928,8529,614,1080,503,990,1623,1253,983,1047,923,521,605,620,672,236,526
TIMM17A,1704,1261,1492,2187,1975,926,505,985,469,1051,2756,1998,1117,870,742,610,707,724,649,559,630
CRB1,65,180,202,211,72,8,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
CFHR5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERN 2.00,26,42,45,48,42,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAX,7,7,3,1,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRP,1,2,6,13,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBM17,6865,6416,8037,8396,7069,7347,472,729,312,666,2208,1826,1507,1324,1356,637,662,737,735,443,683
IL2RA,0,0,0,0,0,2,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD16,453,506,579,581,315,456,12,43,5,37,121,128,140,101,79,26,28,47,32,36,47
ECHDC3,401,453,503,683,345,455,41,49,17,26,97,77,61,71,69,25,34,24,22,9,22
IL15RA,6,7,3,3,3,33,0,9,5,4,3,5,7,4,5,26,31,31,26,16,27
CCNH,1292,2073,1658,2151,933,1036,243,329,141,288,1739,1340,979,1027,1075,317,343,356,296,198,298
HRH4,3,6,8,8,1,2,0,1,1,2,1,0,0,0,0,0,0,1,3,0,0
TMEM241,324,392,399,530,199,157,15,44,21,33,168,154,97,68,52,19,32,31,24,19,35
KCTD1,1855,1440,2125,2026,1581,2172,10,9,5,9,172,156,112,81,66,21,24,23,23,14,19
CABLES1,575,391,364,299,662,677,754,726,271,422,3837,4289,4311,3091,3425,272,283,293,306,203,345
DOCK2,98,58,47,69,69,194,4097,4587,2631,4434,18492,15762,15047,14089,14840,3368,3532,3828,4467,1439,3568
EMP1,582,76,46,107,222,69,890,3024,2313,2964,382,213,73,57,62,2061,1882,1946,1322,575,1083
SOX5,6677,4711,4474,5125,1369,1301,0,0,0,0,1,1,0,2,0,8,8,15,10,5,11
RERG,178,102,104,40,11,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
SLCO1B1,2,22,9,8,0,5,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1
KLRD1,6,17,17,16,5,2,3,5,3,6,0,0,0,0,2,0,0,0,0,0,0
KLRC1,0,2,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PRH2,3,2,0,14,1,3,1,2,1,4,1,0,3,0,0,0,2,1,0,1,0
LRP4,3959,3709,3716,4981,2569,3745,1,1,7,7,30,17,14,8,6,2,4,4,0,4,3
MYBPC3,59,5,14,1,18,1069,6,24,4,22,9,17,14,31,26,18,11,18,13,8,11
DDB2,456,427,448,609,567,1263,429,613,542,544,1049,885,929,816,1084,131,163,139,136,118,150
ACP2,1628,1635,2037,2357,987,1145,1010,2498,837,2020,2138,2553,2754,2954,2973,710,795,774,771,566,694
USP26,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB33A,73,59,101,149,52,79,3,8,2,14,530,404,151,90,52,20,21,27,19,7,19
SOX3,251,587,927,634,538,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMX2,1524,1200,1685,1729,1576,1078,173,261,166,244,824,634,591,667,847,201,217,230,183,218,201
PIWIL4,31,77,54,69,46,28,19,60,20,27,47,45,45,97,84,18,28,33,17,14,23
MTNR1B,1,1,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUM1,11659,15262,18366,27954,14347,8642,1771,1965,1054,1637,3716,3602,3379,3312,3178,851,920,1000,1080,355,877
SPOCD1,26,53,48,96,70,77,65,985,1,797,8,8,2,5,7,159,136,163,90,55,55
PHC2,5733,6519,6809,8691,4522,2175,1716,2156,670,1895,10138,9127,8010,6740,7357,1725,1651,1798,1930,1170,1834
CDCA8,3273,2791,3963,5641,4368,3573,10,10,7,25,624,306,339,117,356,206,271,220,199,106,140
GNL2,4745,5562,6550,10567,9612,4213,449,837,399,851,2174,1568,1088,988,1002,669,683,689,664,364,669
AGO4,2591,4233,3631,6171,2217,787,546,545,311,426,2813,2547,2491,2401,2691,271,328,346,369,110,316
HOOK1,210,492,429,855,899,3457,1,0,1,1,5,0,1,0,1,0,2,0,0,0,0
CYP2J2,23,9,14,12,7,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTF3L4,3115,3453,3940,5203,4566,920,335,432,133,412,3503,2712,2196,1929,1897,356,381,435,424,265,380
PRPF38A,4587,4477,5316,6562,6474,3015,413,491,318,542,2095,1485,1188,1154,1247,338,351,429,366,219,311
DSC2,1390,1296,1319,2050,1488,2189,700,670,549,441,216,216,367,492,588,251,313,272,205,66,148
DSG3,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
RNF138,2412,2068,2593,2485,2605,1345,188,295,170,314,1240,918,735,794,855,335,352,381,377,170,352
ELP2,3730,3956,4647,5990,3064,1333,344,547,303,377,1678,1398,1369,1584,1564,264,319,298,257,134,235
DSG1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
