Gene_Name,Ramadoss_Neuron,Ramadoss_Neuron,Ramadoss_Neuron,Tian_Neuron,Tian_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Rummel_Neuron
ATXN2L,33,33,47,81,80,965,1256,1978,2938,1911,2142,1255,2102,287,128,466,55
ATXN3,431,333,430,91,104,502,634,925,1265,601,565,1195,1827,493,79,264,463
ATXN3L,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ATXN7,216,187,195,86,109,409,561,611,812,421,403,583,754,74,45,123,194
ATXN7L1,213,220,188,17,27,212,232,314,449,159,197,332,456,48,23,85,179
ATXN7L2,144,80,87,28,18,118,168,141,238,194,299,343,784,69,34,84,39
ATXN7L3,190,189,192,848,1107,439,597,838,1163,543,584,2224,3469,586,163,722,752
ATXN7L3B,2159,2241,1938,1060,1337,1338,2159,2564,3470,3033,3373,8090,14972,2152,863,2737,779
AUH,109,92,98,11,11,96,131,168,206,202,164,326,554,47,45,149,69
AUNIP,16,10,15,3,0,36,47,74,89,10,7,50,69,1,0,28,6
AUP1,538,505,421,99,100,284,434,427,696,532,619,875,1431,206,54,253,237
AURKA,23,16,38,3,10,149,239,325,487,105,93,43,105,10,10,21,16
AURKAIP1,644,734,655,145,212,95,95,106,141,100,110,444,1032,108,58,142,252
AURKAPS1,0,0,0,0,0,1,3,1,2,7,2,39,80,32,0,7,0
AURKB,3,3,8,10,9,152,215,287,403,53,42,0,0,0,0,0,0
AURKC,15,9,16,3,2,7,3,12,15,15,10,1,19,0,1,0,8
AUTS2,737,778,673,293,365,2393,3309,4787,6553,2333,2653,2816,2922,267,177,649,1209
AVEN,104,95,91,26,30,61,84,112,165,50,52,249,335,60,20,66,42
AVIL,13,9,7,2,0,7,6,5,10,2,5,137,308,51,11,29,10
AVL9,450,422,411,138,153,837,1226,1544,2178,981,1028,2888,4249,759,424,693,190
AVP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVPI1,42,28,53,2,0,6,8,22,34,46,50,64,37,2,10,5,31
AVPR1A,0,1,3,0,0,5,7,0,0,1,3,74,4,0,0,0,0
AVPR1B,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
AVPR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
AWAT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AXDND1,0,3,0,0,1,2,4,11,8,21,23,3,59,0,0,0,5
AXIN1,106,125,106,16,29,118,157,178,255,155,156,301,691,72,22,110,51
AXIN2,59,53,40,3,10,102,131,189,249,186,196,317,609,103,39,168,52
AXL,21,4,3,0,0,125,174,459,708,286,286,109,240,37,5,24,4
AZGP1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0
AZGP1P1,0,0,0,0,0,0,0,0,1,0,0,4,9,0,0,0,0
AZGP1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
AZI2,269,215,243,268,258,288,393,434,535,321,316,1547,2605,346,98,642,183
AZIN1,1051,1164,1082,419,435,1621,2450,4243,5662,3954,4181,11268,20097,2949,1324,3926,405
AZIN2,130,124,113,35,38,49,55,81,103,66,74,222,419,153,6,72,63
AZU1,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1
AZU1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2M,51,67,69,304,239,87,134,466,617,360,423,1652,3472,373,190,437,109
B3GALNT1,316,373,357,327,263,0,0,30,26,42,27,2259,4193,680,300,770,256
B3GALNT1P1,1,0,0,0,0,0,0,0,0,0,0,35,7,8,2,0,1
B3GALNT2,67,48,70,10,13,106,170,127,185,164,151,563,401,58,12,184,30
B3GALNT2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3GALT1,71,78,61,25,56,134,166,293,419,93,73,1391,2293,346,163,300,55
B3GALT2,327,386,391,178,157,99,118,125,168,38,33,2172,4341,664,296,860,238
B3GALT4,12,10,19,4,9,28,24,25,31,18,9,17,70,4,2,0,12
B3GALT5,27,19,32,74,90,71,106,134,178,127,117,212,316,9,10,15,4
B3GALT6,687,699,623,258,273,100,133,154,197,58,44,623,1374,217,83,260,390
B3GAT1,891,687,775,361,549,484,636,505,781,521,531,2978,4597,788,227,877,450
B3GAT2,321,368,350,152,183,241,346,955,1057,73,81,2744,4600,875,346,1094,156
B3GAT3,95,104,108,22,59,113,125,121,158,66,76,392,701,72,114,138,44
B3GAT3P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3GLCT,39,34,28,10,19,130,217,472,675,168,187,156,287,86,25,72,46
B3GNT2,40,48,38,14,13,53,87,148,203,180,137,142,233,55,27,31,32
B3GNT2P1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
B3GNT3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
B3GNT4,52,40,39,3,7,7,8,5,5,13,8,160,181,33,7,82,65
B3GNT5,15,6,16,1,3,389,580,922,1209,580,500,205,187,31,14,39,20
B3GNT6,0,0,0,0,0,0,0,0,0,0,0,11,8,9,0,0,0
B3GNT7,4,8,12,0,1,3,3,16,21,7,7,46,117,2,5,40,4
B3GNT8,0,0,0,1,1,4,1,4,14,32,35,4,13,11,0,0,0
B3GNT9,0,0,0,0,2,3,1,3,4,1,0,21,35,3,0,0,0
B3GNTL1,19,19,18,3,2,46,54,67,67,19,21,56,19,26,3,4,5
B3GNTL1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3GNTL1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4GALNT1,425,422,401,112,113,345,360,302,388,149,162,1888,2703,253,125,415,234
B4GALNT2,0,0,0,0,0,0,0,1,1,1,0,784,1069,104,49,191,0
B4GALNT2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4GALNT3,8,5,5,0,0,85,118,120,125,57,51,97,110,10,10,20,5
B4GALNT4,915,825,717,173,256,511,493,357,477,195,204,2379,3947,651,197,664,249
B4GALT1,61,63,49,33,50,56,82,161,250,61,56,162,210,45,2,39,36
B4GALT2,1289,1148,1208,589,740,276,388,557,830,268,326,1149,2273,303,136,468,700
B4GALT3,384,324,376,143,170,116,193,267,429,334,386,616,790,160,62,163,161
B4GALT4,62,61,47,20,43,112,146,302,423,278,305,269,681,87,70,130,27
B4GALT5,1311,1278,1261,395,533,498,728,952,1381,1122,1160,2922,5054,679,277,825,551
B4GALT6,142,173,131,23,48,122,238,486,641,97,98,713,938,167,52,331,45
B4GALT7,176,181,183,97,101,81,97,138,186,82,81,214,361,34,31,162,83
B4GAT1,1788,1639,1618,649,779,217,266,403,538,293,351,1500,2883,490,138,452,1490
B9D1,158,126,125,21,26,51,69,122,141,41,31,163,185,31,5,69,70
B9D2,60,55,62,55,37,20,11,23,26,6,10,86,72,13,5,13,28
BAALC,509,464,460,176,243,94,127,437,623,177,204,3061,6071,777,323,1169,174
BAAT,25,20,13,2,2,1,2,0,0,2,2,0,54,2,10,2,11
BAATP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABAM1,492,443,412,196,259,63,107,152,196,121,156,566,1045,109,74,210,226
BACE1,242,195,182,244,293,709,1057,822,1140,723,928,2373,3210,399,219,924,497
BACE2,3,3,0,1,2,74,117,76,106,172,173,59,38,20,2,3,0
BACH1,382,421,358,58,69,965,1567,2383,3366,2473,2501,4718,9594,1158,717,1705,170
BACH2,2592,2475,2534,768,961,734,932,1651,2370,757,815,4544,5611,749,239,841,1192
BAD,263,233,280,146,188,63,55,37,50,20,23,581,1128,167,68,167,75
BAG1,826,797,826,357,424,167,270,302,428,253,268,1086,2304,275,97,433,255
BAG2,40,46,32,2,17,74,119,138,162,61,59,271,415,145,10,84,31
BAG3,36,21,41,22,19,74,112,272,399,228,243,125,265,46,26,48,25
BAG4,339,336,330,41,38,424,603,1011,1414,1201,1279,1136,2158,388,105,416,257
BAG5,664,660,520,234,308,492,728,1239,1650,1222,1394,1540,3091,430,171,660,269
BAG6,1283,1089,1082,164,302,1166,1561,2491,3982,2906,3186,1710,2441,360,114,502,403
BAGE2,0,0,0,0,0,3,1,0,0,1,0,8,40,2,1,0,0
BAHCC1,326,284,232,105,128,458,484,489,625,217,222,811,1204,389,233,185,96
BAHD1,181,179,157,77,73,380,473,914,1305,1568,1546,762,1374,129,74,209,99
BAIAP2,196,181,175,63,57,238,279,501,684,586,623,240,600,97,72,239,95
BAIAP2L1,3,6,1,1,3,13,11,10,15,23,25,53,6,13,0,26,77
BAIAP2L2,14,15,2,1,0,8,5,3,3,4,7,113,74,7,14,4,8
BAIAP3,37,27,32,45,42,70,57,71,93,70,81,307,459,55,11,202,3
BAK1,21,29,30,4,2,68,104,136,226,134,138,204,407,27,21,68,0
BAK1P1,0,0,0,0,0,1,1,0,1,0,0,6,9,0,0,1,2
BAK1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAMBI,13,4,7,13,0,9,24,24,48,57,48,90,124,12,4,28,11
BANF1,701,554,635,14,26,331,531,628,922,462,448,661,800,139,53,242,7
BANF1P1,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
BANF1P2,0,0,0,0,0,0,1,4,9,7,3,0,2,0,0,3,0
BANF1P3,0,0,0,0,0,1,0,3,2,1,0,1,0,0,0,0,0
BANF1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BANF1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANF2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BANK1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
BANP,148,111,101,36,26,64,81,112,162,91,110,171,369,11,17,22,97
BAP1,262,246,282,112,119,341,472,641,849,490,648,1486,2174,390,100,478,147
BARD1,13,6,11,8,13,461,815,958,1243,621,623,74,203,40,17,40,26
BARHL1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
BARHL2,60,54,47,7,1,0,0,0,3,6,5,68,141,4,7,23,35
BARX1,7,4,0,0,0,0,0,0,1,0,0,3,15,0,0,0,0
BARX2,0,0,0,0,0,0,0,0,0,0,0,3,12,10,0,1,0
BASP1,18289,17728,16948,3932,4886,1809,2422,2864,3699,1875,1839,11566,16085,2705,1221,3724,13647
BASP1P1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATF2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
BATF3,14,8,4,0,0,12,9,15,27,7,14,34,9,0,1,5,18
BAX,22,11,12,15,23,247,252,441,648,344,395,143,255,30,32,124,21
BAZ1A,106,90,83,25,38,619,953,1382,1912,567,564,225,453,106,45,155,15
BAZ1B,1139,1084,955,218,308,1605,2407,3756,5301,2362,2415,4043,6437,816,375,1247,1054
BAZ2A,292,233,243,73,110,1649,2293,4083,6262,5788,6072,3459,3802,724,127,482,356
BAZ2B,2839,2780,2653,748,1079,3071,3809,3426,4749,2268,2632,7542,14009,1759,742,2686,4319
BBC3,1198,962,970,190,234,55,85,125,178,198,217,106,221,70,16,21,318
BBIP1,154,173,181,47,43,205,300,369,457,281,337,499,1016,349,33,178,87
BBOF1,108,90,89,19,46,36,47,80,103,57,55,137,190,86,6,50,89
BBOX1,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,2,1
BBS1,8,2,4,0,2,44,38,29,47,31,34,408,825,140,29,96,13
BBS10,31,41,25,11,17,251,368,673,776,458,496,623,1091,221,62,167,21
BBS12,73,36,40,17,16,27,70,119,158,39,22,160,407,50,26,69,26
BBS2,120,122,96,43,49,374,427,945,1325,646,669,797,1605,244,95,395,80
BBS4,393,420,417,54,72,252,327,635,887,393,471,844,1287,155,59,243,231
BBS5,66,47,30,13,11,41,45,57,68,48,36,244,441,62,45,166,33
BBS7,274,245,285,24,71,198,301,464,657,314,296,911,1574,239,92,399,247
BBS9,107,101,86,31,43,157,287,495,694,566,541,383,683,152,60,146,35
BBX,591,643,536,250,335,1298,2022,2812,4083,2115,1818,823,933,807,63,246,319
BCAM,16,7,6,7,2,44,38,59,73,95,79,140,280,39,12,29,160
BCAN,37,58,47,2,2,2,1,6,6,7,8,23,11,3,0,9,36
BCAP29,3,4,0,89,92,220,339,571,716,356,361,761,1632,235,175,425,286
BCAP31,733,645,634,217,280,137,207,437,623,416,492,1156,2192,232,70,433,182
BCAP31P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCAP31P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCAR1,437,411,379,111,204,172,165,164,260,215,228,835,1552,189,93,221,100
BCAR1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCAR1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCAR3,48,51,41,12,17,108,145,391,598,165,133,154,296,72,13,79,22
BCAS1,0,0,0,0,0,1,0,1,1,0,0,11,4,2,4,0,0
BCAS2,285,268,260,102,161,271,422,770,1008,592,622,896,1700,288,107,335,111
BCAS2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCAS2P2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
BCAS2P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCAS3,191,177,136,32,47,241,323,688,954,555,547,772,1028,136,81,204,108
BCAS4,229,173,201,99,86,228,323,484,708,540,550,604,1278,140,83,219,191
BCAT1,1282,1292,1414,708,864,2911,4548,10205,13704,5192,3818,6659,11647,2472,680,2299,628
BCAT2,210,226,187,39,55,90,111,122,184,84,77,427,624,91,45,113,27
BCCIP,506,491,450,202,191,441,635,1018,1372,438,470,807,1154,230,132,309,529
BCDIN3D,59,40,39,95,67,51,70,94,141,21,12,262,498,80,48,117,35
BCHE,56,52,55,39,44,121,175,553,724,571,620,236,690,161,31,103,11
BCKDHA,0,0,0,0,0,0,0,2,4,4,4,171,293,112,45,55,0
BCKDHB,43,47,34,4,16,155,279,413,531,252,234,436,698,98,15,75,26
BCKDK,165,154,148,27,29,82,135,206,292,133,134,306,506,43,17,125,78
BCL10,149,119,74,78,72,115,178,290,364,128,130,528,809,166,54,220,66
BCL11A,1611,1607,1328,510,565,46,52,53,61,19,26,536,1011,33,19,146,166
BCL11B,141,119,99,36,62,8,11,2,7,2,3,39,98,65,3,22,160
BCL2,239,204,198,29,38,333,481,1023,1466,430,436,549,930,369,49,204,126
BCL2A1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BCL2L1,224,182,204,128,143,392,541,570,778,460,496,2493,4136,496,262,692,173
BCL2L10,12,16,2,2,5,0,0,0,0,0,1,0,1,0,0,0,1
BCL2L11,31,30,52,16,16,191,301,237,322,127,129,512,727,245,9,51,14
BCL2L12,25,6,7,10,18,46,53,130,154,65,70,18,25,0,0,0,1
BCL2L12P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCL2L13,363,359,323,74,103,449,664,1276,1855,1771,1733,961,1329,174,95,215,158
BCL2L14,0,10,0,0,0,12,11,19,19,2,3,13,31,1,17,2,5
BCL2L15,18,19,15,2,0,6,8,9,0,1,3,82,75,8,0,17,3
BCL2L2,23,29,17,24,14,240,291,325,402,377,362,708,1005,201,77,191,34
BCL2L2-PABPN1,0,1,0,0,0,5,5,3,5,2,2,125,87,0,29,0,0
BCL3,35,28,23,10,12,14,14,14,19,21,20,97,49,15,11,25,33
BCL6,21,28,11,1,2,80,113,168,268,203,211,366,912,127,43,128,29
BCL6B,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
BCL7A,1559,1565,1323,410,560,453,619,937,1319,904,997,2145,3466,420,230,826,950
BCL7B,86,87,61,27,26,90,155,227,325,276,305,291,417,95,30,102,32
BCL7C,153,134,100,26,51,104,145,155,255,158,132,500,922,122,54,203,60
BCL9,386,300,368,102,98,716,912,1321,2023,1023,1071,1221,1459,485,105,202,253
BCL9L,87,86,78,65,99,358,365,346,537,449,529,399,1273,199,34,57,18
BCL9P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCLAF1,2167,1983,1865,385,429,1827,2673,3535,4472,2146,2358,6368,11491,1940,674,2243,1905
BCLAF1P1,13,6,2,2,0,0,0,0,1,0,0,0,0,0,0,0,3
BCLAF1P2,33,39,21,0,0,4,3,8,9,1,0,1,3,0,0,0,13
BCO1,5,6,5,0,0,0,0,0,0,0,0,5,12,0,0,2,6
BCO2,28,8,9,0,1,6,8,3,20,4,4,60,121,32,4,7,40
BCOR,272,270,241,41,44,795,1100,1231,1963,1487,1537,1511,1792,297,99,360,115
BCORL1,608,655,551,320,378,444,652,906,1296,1063,1128,429,481,43,22,72,340
BCORP1,0,0,0,0,0,0,0,0,0,0,0,71,125,13,4,6,1
BCR,348,228,287,68,70,623,810,1225,1889,763,827,3602,5546,860,291,1079,96
BCRP1,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0
BCRP2,0,0,0,4,0,1,1,1,2,3,3,212,230,46,9,31,0
BCRP4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
BCRP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCRP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCRP7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
BCRP8,0,0,0,0,0,2,1,4,2,0,0,7,0,2,0,0,0
BCRP9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCS1L,143,164,144,21,28,155,214,163,222,97,98,365,551,96,26,102,58
BDH1,52,60,60,42,79,30,34,26,25,6,6,450,641,39,3,61,56
BDH2,24,25,16,5,0,126,175,228,301,143,186,22,117,7,4,26,14
BDH2P1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BDKRB1,0,4,5,2,0,1,0,0,0,0,0,0,0,1,0,0,3
BDKRB2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2
BDNF,77,88,63,10,10,0,0,5,3,0,4,1028,1915,294,97,430,53
BDP1,1872,1802,1772,377,411,1406,1871,2542,3477,1974,1933,62,0,973,0,0,2768
BDP1P,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BEAN1,56,77,79,19,20,4,10,10,18,15,10,132,287,26,8,37,41
BECN1,53,48,43,104,96,254,321,492,663,397,423,740,1258,303,100,253,18
BECN1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BECN2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEGAIN,312,223,288,54,64,29,30,31,40,14,11,310,577,70,54,69,193
BEND2,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0
BEND3,26,35,22,15,23,174,264,322,439,195,199,396,733,86,47,107,4
BEND3P1,23,24,28,0,0,1,0,0,1,0,0,93,103,14,10,32,0
BEND3P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEND3P3,0,0,0,0,0,1,2,0,0,0,0,164,268,23,8,65,0
BEND4,261,198,193,65,82,8,5,26,28,10,21,446,722,105,57,170,37
BEND5,566,645,596,82,91,81,105,152,223,51,61,308,655,225,16,71,365
BEND6,399,276,347,24,48,32,35,64,54,62,73,254,397,109,37,110,129
BEND7,205,200,185,22,30,354,440,548,741,342,385,826,1158,225,40,194,196
BEND7P1,10,3,14,0,0,5,3,0,0,1,5,11,24,0,0,0,16
BEST1,5,11,9,0,0,35,18,49,36,34,31,131,162,25,4,43,11
BEST2,0,5,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
BEST3,0,2,0,0,0,1,0,0,2,0,0,14,3,5,3,0,3
BEST4,14,14,11,3,14,0,1,2,1,0,1,7,5,0,0,0,7
BET1,46,40,39,42,12,109,179,314,435,246,258,247,489,62,11,122,30
BET1L,108,180,123,22,41,234,327,375,545,386,387,344,652,74,46,195,65
BET1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEX1,9810,8899,9326,1493,1718,191,296,746,968,370,428,3522,7050,1082,391,1096,4686
BEX2,2621,2653,2572,559,682,91,114,209,279,127,156,2027,3689,589,252,744,1474
BEX3,8246,7711,7312,3594,4024,625,892,1655,2131,942,1151,3571,7219,1113,509,1302,3855
BEX4,1566,1562,1484,943,1039,378,489,995,1294,714,745,2628,5007,758,318,1070,807
BEX5,4393,3670,4464,1751,1896,0,0,9,4,3,3,1141,2106,321,111,307,3330
BFAR,408,390,315,82,139,333,511,833,1110,735,772,1129,1670,330,32,423,272
BFSP1,40,26,34,4,7,0,0,1,1,0,0,28,52,11,7,22,22
BFSP2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
BGLAP,0,0,0,0,0,3,1,1,1,0,2,2,22,4,0,25,0
BGN,63,48,3,0,0,0,2,3,11,2,6,0,0,0,0,0,13
BHLHA15,0,0,0,0,0,0,0,0,0,0,0,9,23,0,0,0,0
BHLHA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHLHB9,0,2,0,115,180,171,211,249,378,325,311,988,1322,259,151,243,224
BHLHB9P1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
BHLHE22,66,86,59,3,13,59,49,206,279,34,13,47,146,7,3,15,20
BHLHE23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHLHE40,2,0,1,6,4,7,10,73,108,507,384,317,378,85,31,115,6
BHLHE41,29,32,52,4,3,3,7,16,20,18,13,32,139,15,3,11,58
BHMG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHMT,0,0,0,0,0,3,4,1,2,0,0,0,0,0,0,1,0
BHMT2,0,0,0,0,0,0,0,0,0,0,0,24,25,9,0,6,0
BICC1,30,38,27,4,2,66,97,206,277,47,43,191,112,2,13,57,18
BICD1,2418,2368,2198,399,549,901,1211,1377,1871,1092,1093,2873,3263,415,161,690,1278
BICD1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BICD2,479,358,368,100,126,327,468,697,1033,840,890,1615,3183,389,180,595,356
BICDL1,245,180,193,37,33,78,77,44,52,58,65,1354,2299,327,105,373,146
BICDL2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
BID,324,257,291,25,31,47,46,42,60,14,6,353,799,86,44,146,171
BIK,56,32,26,0,16,2,2,4,3,7,1,37,13,0,8,0,19
BIN1,1051,1062,850,511,645,580,560,358,472,635,706,1958,3330,536,163,639,413
BIN2,0,0,1,1,0,0,0,0,0,0,0,25,0,0,0,0,0
BIN2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIN2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIN3,42,32,14,21,34,86,121,135,230,104,87,160,338,35,7,88,9
BIRC2,861,773,668,339,375,876,1262,1447,2017,3319,3520,1357,2586,572,208,515,342
BIRC3,3,0,0,6,1,2,2,3,5,7,12,0,9,0,0,0,1
BIRC5,3,4,9,11,10,278,455,575,771,183,164,196,119,10,0,25,1
BIRC6,710,745,681,206,268,3532,4689,4866,6696,4168,4819,8253,13470,2463,722,2059,496
BIRC6-AS2,0,0,0,0,0,0,0,1,0,0,1,25,3,0,1,0,1
BIRC7,0,0,0,0,0,1,0,1,2,1,0,13,3,0,0,1,0
BIRC8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIVM,520,455,409,187,168,159,242,245,280,94,80,1472,2407,309,132,439,434
BIVM-ERCC5,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0
BLCAP,3951,3765,3955,1347,1552,580,716,986,1465,1438,1623,4599,7564,1024,430,1330,561
BLID,0,0,0,0,0,2,3,0,1,1,0,0,0,0,0,0,0
BLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
BLM,3,7,11,7,4,206,329,427,620,64,72,121,203,74,12,26,12
BLMH,407,418,334,169,161,406,533,979,1498,692,722,1093,2176,344,133,320,236
BLNK,0,4,0,0,0,0,0,0,0,0,0,1,10,0,0,1,6
BLOC1S1,150,188,206,76,111,27,43,65,102,68,57,332,645,81,54,147,101
BLOC1S2,1037,940,865,616,591,401,624,907,1296,923,868,1359,2974,835,244,552,587
BLOC1S2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLOC1S3,142,101,103,23,39,41,47,64,73,45,56,263,240,40,6,101,34
BLOC1S4,278,207,267,153,139,38,66,79,102,64,65,236,371,80,20,86,79
BLOC1S5,58,46,71,13,20,131,198,332,429,201,200,199,607,136,39,249,33
BLOC1S5-TXNDC5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLOC1S6,868,758,746,190,283,555,847,1362,1824,1035,988,9538,12082,1821,703,2479,507
BLVRA,150,162,177,39,42,116,149,224,294,86,73,263,432,40,46,120,74
BLVRB,67,65,50,16,11,17,19,24,37,64,72,58,117,7,15,26,56
BLZF1,69,80,78,34,16,134,208,312,397,273,319,400,677,139,23,144,46
BLZF2P,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0
BMF,25,25,17,1,6,166,274,338,535,263,330,152,119,92,4,22,11
BMI1,219,238,207,84,87,348,576,740,911,552,595,1228,1808,276,200,364,99
BMI1P1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
BMP1,40,41,38,9,9,76,108,130,163,44,50,372,400,22,19,180,27
BMP10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMP2,49,40,53,21,17,0,2,26,38,0,4,93,241,37,10,54,19
BMP2K,36,33,47,20,34,338,548,696,936,320,321,334,660,106,18,124,15
BMP2KL,0,0,1,0,0,0,0,0,0,0,0,19,2,0,7,8,0
BMP3,3,3,2,0,0,0,0,3,3,2,0,204,493,45,16,107,3
BMP4,80,75,49,15,9,7,11,12,15,1,1,0,0,0,0,0,2
BMP5,0,1,2,0,0,1,0,0,0,60,48,111,201,34,11,53,3
BMP6,1,0,0,3,1,0,3,40,52,3,3,17,9,5,2,0,1
BMP6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMP7,70,37,53,8,6,272,465,683,1012,630,726,102,171,11,6,26,2
BMP8A,26,14,13,0,0,2,0,1,0,0,2,55,71,0,15,27,0
BMP8B,11,6,1,1,0,5,7,3,13,15,18,40,104,27,1,13,3
BMPER,21,19,15,6,1,2,0,3,5,5,6,336,226,7,15,66,11
BMPR1A,93,92,93,17,42,436,656,1148,1582,516,462,1309,2328,274,214,289,51
BMPR1APS1,0,0,0,0,0,4,7,4,0,7,6,0,1,0,0,0,0
BMPR1APS2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
BMPR1B,0,0,1,4,0,574,1037,1254,1799,1139,1197,12,78,0,7,8,2
BMPR2,1956,1682,1682,431,575,2086,2992,2141,2796,912,866,7991,10010,1354,616,2056,974
BMS1,719,615,545,205,219,488,744,1297,1851,483,586,1344,2282,371,116,381,499
BMS1P1,0,0,0,0,1,108,107,87,105,78,102,506,641,126,20,76,40
BMS1P10,0,0,0,6,2,21,24,39,55,16,23,49,97,5,2,12,547
BMS1P11,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0
BMS1P12,0,0,0,0,0,0,0,0,0,1,2,0,17,0,0,0,0
