Gene_Name,Processed_Ramadoss_iPSC_1,Processed_Ramadoss_iPSC_2,Processed_Ramadoss_iPSC_3,Processed_Lisowski_iPSC1,Processed_Lisowski_iPSC2,Processed_Lisowski_iPSC3,Processed_Susco_iPSC_1,Processed_Susco_iPSC_2,Processed_Susco_iPSC_3,Processed_Susco_iPSC_4,Processed_Susco_iPSC_5
DYNLT3P1,0,2,0,0,0,0,0,0,0,0,0
DYNLT3P2,0,0,0,0,1,0,0,0,0,0,0
DYRK1A,410,645,592,3434,3072,3121,2553,1585,1986,1982,1878
DYRK1B,27,16,11,70,24,38,95,112,60,87,226
DYRK2,268,381,339,2042,1725,1793,1240,796,950,1234,1658
DYRK3,67,74,69,112,74,90,312,219,175,254,516
DYRK4,58,77,84,83,76,99,130,87,76,67,101
DYSF,99,108,106,888,419,617,790,480,650,497,484
DYTN,0,0,0,0,0,0,0,0,0,0,0
DZANK1,53,100,78,119,129,129,131,59,183,138,136
DZIP1,552,600,606,544,680,619,1123,638,1380,827,1139
DZIP1L,37,39,42,182,243,240,62,15,35,50,106
DZIP3,442,627,649,1233,1330,1245,2088,1255,1863,1505,1859
E2F1,409,308,300,302,330,316,337,196,206,292,299
E2F2,82,77,103,114,154,150,224,88,128,111,111
E2F3,1191,1143,1019,1544,1469,1552,1103,559,980,813,986
E2F3P1,0,0,0,0,0,0,0,0,0,0,0
E2F3P2,0,0,0,1,0,0,32,21,14,27,6
E2F4,511,614,563,534,469,610,769,416,601,554,486
E2F4P1,0,0,0,0,0,0,0,0,0,0,0
E2F5,40,41,18,687,744,751,653,222,631,469,409
E2F6,178,113,149,386,374,382,769,206,595,528,558
E2F6P1,0,0,0,0,0,0,0,0,0,0,0
E2F6P2,0,0,0,0,0,0,0,0,0,0,0
E2F6P3,0,0,0,0,0,0,0,0,0,0,0
E2F6P4,0,0,0,1,0,2,0,0,0,0,0
E2F7,92,165,104,767,880,878,839,399,495,354,684
E2F8,78,104,128,138,188,173,200,109,103,124,140
E4F1,72,78,73,106,80,93,294,332,375,198,242
EAF1,115,164,208,953,981,1021,1033,496,826,706,943
EAF2,10,21,10,74,68,59,118,118,102,112,122
EAPP,438,616,600,472,327,369,434,306,410,288,482
EARS2,340,452,444,1336,1238,1192,2259,906,1653,1164,2210
EBAG9,229,361,322,169,211,215,237,101,198,173,175
EBAG9P1,0,0,2,0,10,5,14,0,4,0,0
EBF1,38,31,21,111,13,51,0,0,0,3,4
EBF2,32,17,29,9,148,127,14,8,6,14,45
EBF3,66,28,34,26,17,26,21,0,0,20,22
EBF4,0,1,2,29,7,17,45,24,183,10,22
EBI3,1,0,0,4,0,0,21,11,5,18,26
EBLN1,3,0,0,0,0,0,0,0,0,0,0
EBLN2,26,35,35,109,180,128,45,9,14,29,25
EBNA1BP2,1935,2236,2094,454,779,634,692,396,681,525,511
EBP,930,995,874,1165,919,961,799,463,547,707,538
EBPL,283,662,577,900,585,684,1408,693,1048,1153,1279
ECD,290,462,384,960,935,978,911,500,710,971,784
ECE1,556,516,344,1186,1162,1221,924,418,823,676,736
ECE2,0,0,0,137,73,87,9,16,18,6,0
ECEL1,82,119,96,380,166,198,72,126,95,66,41
ECEL1P1,11,6,3,48,25,38,0,0,0,6,0
ECEL1P2,0,0,0,7,15,6,13,3,34,82,42
ECEL1P3,0,0,0,0,0,0,0,0,0,0,0
ECH1,482,622,577,417,249,307,974,629,1091,729,698
ECHDC1,1097,1138,1037,656,953,913,977,532,640,680,554
ECHDC2,6,18,6,215,148,184,269,279,432,294,366
ECHDC3,6,5,1,121,114,138,264,111,155,199,240
ECHS1,1163,1112,1031,684,534,663,1090,685,982,894,986
ECI1,850,904,823,244,200,199,714,344,466,537,535
ECI2,346,479,459,1124,963,1013,1175,495,1189,779,982
ECM1,8,3,1,10,41,22,0,0,0,3,16
ECM1P1,0,0,0,0,0,0,0,0,0,0,0
ECM1P2,0,0,1,0,0,1,5,0,0,0,0
ECM2,0,1,0,0,0,0,25,1,0,3,20
ECSCR,4,6,7,2,2,1,0,15,0,34,0
ECSIT,258,304,275,317,157,175,416,199,329,307,325
ECT2,824,1114,1127,4393,4355,4352,3272,1492,2832,2502,3099
ECT2L,1,5,7,1,0,2,0,0,12,0,0
EDA,29,44,19,247,349,351,239,102,255,307,270
EDA2R,20,30,14,392,285,265,177,116,327,180,338
EDAR,0,0,0,0,0,0,0,0,0,0,5
EDARADD,48,58,35,11,25,24,42,95,98,63,20
EDC3,171,216,188,1160,824,965,371,592,792,317,425
EDC4,0,3,6,368,378,400,1042,565,498,603,619
EDDM3A,0,0,0,0,0,0,0,0,0,0,0
EDDM3B,0,0,0,0,0,0,0,0,0,0,0
EDDM3CP,0,0,0,0,0,0,0,6,0,0,0
EDDM3DP,0,0,0,0,0,0,0,0,0,0,0
EDEM1,11,35,30,1943,1664,1843,1136,524,843,865,1296
EDEM2,86,99,82,353,321,276,252,131,264,287,230
EDEM3,169,210,185,749,718,664,841,998,1544,813,1443
EDF1,2323,2282,2492,724,371,609,1669,946,1766,1401,1441
EDIL3,236,265,306,1531,2290,2120,4350,2397,3887,3302,3688
EDN1,23,13,21,15,13,13,81,66,111,55,34
EDN2,2,1,0,0,0,1,0,0,0,0,0
EDN3,2,3,6,2,0,0,0,28,10,2,10
EDNRA,5,9,16,24,37,35,87,30,36,72,34
EDNRB,34,85,64,3543,2232,2651,2110,963,1073,1728,1963
EDRF1,220,364,322,825,1033,994,872,596,964,731,946
EEA1,881,1054,976,852,1195,1131,1395,436,771,530,1037
EED,571,525,524,521,557,524,517,292,305,389,417
EEF1A1,17293,15129,13917,141753,99764,101957,337728,177562,301881,260182,279161
EEF1A1P1,0,0,0,1,0,0,1,0,0,1,2
EEF1A1P10,1,1,0,3,9,12,2,0,2,0,2
EEF1A1P11,2,4,26,29,11,12,12,9,11,9,14
EEF1A1P12,1,5,15,17,4,7,6,7,32,8,29
EEF1A1P13,3,1,26,77,33,42,56,11,30,26,54
EEF1A1P14,0,0,0,1,0,0,1,1,1,0,1
EEF1A1P15,0,0,0,0,0,0,0,0,1,0,1
EEF1A1P16,1,0,0,0,0,0,5,1,1,1,4
EEF1A1P17,0,0,0,1,0,0,3,1,2,0,1
EEF1A1P19,1,0,2,73,55,54,7,2,19,10,16
EEF1A1P2,0,0,0,0,0,0,0,1,0,0,0
EEF1A1P20,0,0,0,0,0,0,0,0,0,0,0
EEF1A1P21,0,0,0,0,0,0,0,0,0,0,0
EEF1A1P22,0,0,0,3,0,2,0,3,1,0,1
EEF1A1P24,0,0,0,0,0,1,2,0,3,2,2
EEF1A1P25,3,11,58,2,0,1,0,0,16,7,0
EEF1A1P26,0,0,0,0,0,0,0,0,0,0,0
EEF1A1P27,0,0,0,0,0,0,1,0,0,0,0
EEF1A1P28,0,0,0,1,1,2,0,0,0,1,1
EEF1A1P29,0,0,0,1,0,2,11,1,2,1,2
EEF1A1P3,1,0,0,55,75,62,2,1,19,1,6
EEF1A1P30,0,1,0,27,41,41,1,0,0,4,1
EEF1A1P31,1,0,0,0,0,0,0,0,0,0,0
EEF1A1P32,0,0,0,0,0,0,0,9,0,1,0
EEF1A1P33,0,0,0,0,0,0,0,0,0,0,0
EEF1A1P34,0,0,0,0,0,0,0,0,0,0,0
EEF1A1P36,0,0,0,0,0,0,0,0,0,0,0
EEF1A1P37,0,0,0,0,0,0,0,0,0,0,0
EEF1A1P38,0,0,0,3,1,0,0,1,3,0,1
EEF1A1P39,0,0,0,0,1,2,0,0,0,1,0
EEF1A1P4,0,1,0,5,5,5,11,3,14,7,2
EEF1A1P40,0,0,0,0,0,0,0,0,0,0,0
EEF1A1P41,0,0,0,0,0,0,0,0,0,0,0
EEF1A1P42,0,0,0,0,0,0,0,0,0,0,0
EEF1A1P5,451,377,397,690,316,405,143,127,113,133,118
EEF1A1P6,33,17,62,199,112,141,112,69,135,102,159
EEF1A1P7,0,0,0,3,0,0,0,0,1,2,2
EEF1A1P8,0,0,0,4,1,3,4,1,3,3,10
EEF1A1P9,1,6,7,12,7,15,14,9,11,4,8
EEF1A2,75,81,50,266,111,109,352,365,412,285,297
EEF1AKMT1,166,121,91,25,34,32,42,12,57,42,31
EEF1B2,9790,10427,9762,4647,4243,4319,6115,3546,5770,5346,4972
EEF1B2P1,4,7,0,0,0,0,9,0,0,0,0
EEF1B2P2,5,6,8,1,0,1,1,1,1,0,0
EEF1B2P3,88,116,127,31,27,29,13,1,24,1,14
EEF1B2P4,0,0,0,0,0,0,0,0,0,0,0
EEF1B2P5,0,0,0,0,0,0,0,0,0,0,0
EEF1B2P6,76,60,80,9,14,10,1,0,0,0,0
EEF1B2P7,0,0,0,0,0,3,2,0,1,1,17
EEF1B2P8,0,0,0,0,0,0,0,0,0,0,0
EEF1D,75,70,52,1879,1051,1484,257,98,143,435,251
EEF1DP1,32,30,12,1,0,1,1,0,0,0,0
EEF1DP2,0,0,0,10,7,12,5,0,0,0,0
EEF1DP3,0,0,0,5,6,4,0,0,0,0,0
EEF1DP4,0,0,0,1,1,1,0,0,0,0,0
EEF1DP5,0,2,1,0,0,0,0,0,0,0,0
EEF1DP6,0,0,0,0,0,0,0,0,0,0,0
EEF1DP7,6,8,4,2,16,12,0,0,0,0,0
EEF1DP8,0,0,0,0,0,1,0,0,0,0,0
EEF1E1,932,1257,1200,194,255,223,708,340,576,623,673
EEF1E1-BLOC1S5,0,0,0,0,0,0,4,0,0,0,0
EEF1E1P1,3,0,0,1,1,0,0,0,24,0,0
EEF1G,0,0,0,0,0,0,29389,16055,25996,22630,24159
EEF1GP1,0,0,0,3,5,1,0,0,0,0,0
EEF1GP2,0,0,0,0,0,0,0,0,0,0,0
EEF1GP3,0,0,0,0,0,0,0,0,0,0,0
EEF1GP4,0,0,0,0,0,0,0,0,0,0,0
EEF1GP5,1,1,1,1,1,2,0,0,1,0,1
EEF1GP6,0,0,0,0,0,0,0,0,0,0,0
EEF1GP7,0,0,0,2,4,4,0,0,0,0,0
EEF1GP8,0,0,0,0,0,0,0,1,0,0,0
EEF2,21459,20972,20037,22921,12747,17286,67381,39568,53058,57563,54131
EEF2K,98,93,102,455,743,780,0,50,9,39,33
EEF2KMT,76,80,74,157,223,181,117,169,337,186,146
EEFSEC,42,65,58,105,94,82,91,26,15,2,52
EEPD1,33,38,38,177,96,157,162,229,108,179,176
EFCAB1,0,0,0,0,2,1,17,3,0,1,0
EFCAB10,7,7,4,29,29,28,19,39,6,22,10
EFCAB11,95,102,72,140,182,191,258,193,243,247,266
EFCAB12,3,1,0,4,6,9,7,19,0,4,0
EFCAB13,3,4,8,62,70,76,314,92,108,131,186
EFCAB14,331,459,359,1276,1680,1651,1134,778,1723,821,981
EFCAB14P1,0,1,0,0,0,2,0,0,0,0,0
EFCAB2,128,131,137,64,99,74,71,65,256,77,67
EFCAB3,0,0,0,0,0,0,30,20,21,38,19
EFCAB5,2,6,0,7,4,3,17,0,6,1,0
EFCAB6,4,1,0,8,13,10,2,14,28,13,0
EFCAB7,7,16,3,133,121,162,105,83,148,74,77
EFCAB8,0,0,0,6,23,13,0,0,0,0,0
EFCAB9,0,0,0,0,0,0,0,0,0,0,0
EFCC1,0,0,1,1,0,4,27,15,4,8,21
EFEMP1,151,223,197,727,433,514,347,261,359,217,269
EFEMP2,21,18,11,120,52,65,166,76,113,106,152
EFHB,0,1,4,19,27,34,47,22,55,53,16
EFHC1,90,105,102,380,416,406,269,310,298,167,459
EFHC2,9,19,8,66,46,43,113,44,86,95,129
EFHD1,17,9,32,142,82,94,138,125,106,73,57
EFHD2,140,162,159,108,78,112,195,47,183,129,87
EFL1,108,189,243,1037,917,936,850,381,956,571,853
EFNA1,51,58,34,51,30,33,102,35,54,51,75
EFNA2,181,181,152,10,2,5,52,63,154,93,119
EFNA3,78,80,77,75,38,54,59,62,109,124,89
EFNA4,172,202,205,219,176,219,167,57,153,128,146
EFNA5,155,220,179,528,353,416,195,57,88,145,196
EFNB1,182,199,184,1113,404,615,106,93,105,74,71
EFNB2,88,93,108,1279,901,1084,552,211,440,405,438
EFNB3,74,116,121,312,204,228,119,54,106,100,145
EFR3A,496,655,670,758,1074,925,2081,804,1690,1124,1641
EFR3B,30,83,57,491,442,523,377,209,327,376,360
EFS,44,49,49,366,326,337,475,258,457,313,275
EFTUD2,744,930,1057,3012,2782,2782,2883,1570,1671,2077,1648
EGF,12,5,16,186,203,164,160,153,120,150,225
EGFEM1P,7,3,7,155,110,128,60,0,34,21,5
EGFL6,4,7,2,14,17,21,25,28,38,23,26
EGFL7,45,32,45,93,30,42,492,263,372,402,436
EGFL8,5,7,7,13,18,15,0,0,0,17,51
EGFLAM,5,5,11,9,20,28,0,7,0,2,0
EGFR,36,41,54,166,504,409,402,270,152,252,146
EGLN1,2,2,3,749,582,624,792,300,290,626,706
EGLN1P1,0,0,0,0,0,0,0,0,0,0,0
EGLN2,0,1,0,310,301,337,988,444,454,566,836
EGLN3,79,71,76,220,203,211,657,313,438,402,454
EGLN3P1,0,0,0,0,0,0,0,0,0,1,0
EGR1,10,9,8,662,43,189,7,22,25,15,16
EGR2,4,2,3,21,3,7,7,0,0,9,12
EGR3,2,0,0,1,2,0,0,0,0,0,0
EGR4,0,0,0,0,0,0,4,0,0,1,0
EHBP1,163,288,265,1000,1356,1249,997,566,781,368,536
EHBP1L1,6,1,4,58,52,53,140,83,271,166,105
EHD1,528,427,326,254,182,220,443,301,290,338,395
EHD2,18,29,24,182,92,165,71,156,76,74,74
EHD3,111,106,82,245,205,216,537,321,455,414,426
EHD4,99,123,178,519,664,656,1244,785,1301,954,1095
EHF,0,0,0,0,0,0,0,0,0,0,0
EHHADH,5,12,6,25,23,19,243,48,229,120,246
EHMT1,797,1177,875,1681,1712,1849,5433,1079,1807,1260,1926
EHMT2,800,719,627,1543,567,836,55,0,0,0,216
EI24,2533,2188,2076,1966,1709,1731,2502,1505,2131,2027,1966
EI24P1,0,0,0,0,0,0,0,0,0,0,0
EI24P2,0,0,0,0,0,0,0,0,0,0,0
EI24P3,0,0,0,0,0,0,0,0,0,0,0
EI24P4,0,0,0,0,0,0,0,0,0,0,0
EID1,2076,3330,3163,1189,1354,1353,3055,1848,3079,2233,2591
EID2,319,350,265,145,182,174,434,286,309,389,371
EID2B,29,42,33,52,35,40,91,74,132,59,144
EID3,4,4,1,35,79,50,20,18,16,43,18
EIF1,5211,6201,6478,7643,5013,5410,3400,1549,2646,2500,2470
EIF1AD,80,172,169,377,462,466,265,156,210,273,117
EIF1AX,4267,4641,4111,1604,2178,2089,4193,2541,3311,3192,3470
EIF1AXP1,418,532,606,19,15,13,13,0,15,10,0
EIF1AXP2,0,0,0,2,0,0,0,0,0,0,0
EIF1AY,1185,1189,1188,0,0,1,637,346,644,400,495
EIF1B,414,488,385,1266,964,1173,455,317,225,290,416
EIF1P1,0,0,0,2,0,4,0,0,0,0,0
EIF1P2,0,0,0,0,0,0,0,0,0,0,0
EIF1P3,1,0,3,0,0,0,0,0,0,0,1
EIF1P4,0,0,0,0,0,0,0,0,0,0,0
EIF1P5,0,0,0,0,0,0,0,0,0,0,0
EIF1P6,0,0,2,0,0,0,0,0,0,0,0
EIF1P7,0,0,0,2,0,1,0,0,0,0,0
EIF2A,902,1134,1168,1924,2124,2082,2405,1010,2321,1919,2204
EIF2AK1,1193,1257,1330,2988,2838,2867,1989,864,1303,1775,1958
EIF2AK2,480,747,670,1882,2608,2536,2265,2625,1541,1845,2032
EIF2AK3,78,106,92,712,1012,950,1039,535,1039,918,860
EIF2AK4,779,902,748,3687,3755,3624,6701,3588,4666,4115,5675
EIF2AP4,0,0,0,0,0,0,0,0,0,0,0
EIF2B1,246,444,419,565,760,664,632,296,626,515,426
EIF2B2,530,496,532,404,413,393,623,311,558,425,472
EIF2B3,320,331,266,453,473,466,807,440,698,530,426
EIF2B4,512,479,459,508,537,544,425,163,364,332,309
EIF2B5,553,526,487,807,907,742,820,327,817,487,424
EIF2D,138,350,277,858,747,728,667,531,701,563,645
EIF2S1,1078,1101,984,1405,1663,1573,2165,1375,2233,1609,1969
EIF2S2,10480,11379,10029,2617,2530,2725,5047,2721,5425,4006,5314
EIF2S2P2,2,4,1,1,0,1,0,0,0,0,0
EIF2S2P3,3,3,8,0,1,1,0,1,0,2,0
EIF2S2P4,632,721,603,19,18,12,0,0,0,1,3
EIF2S2P5,1,2,2,0,0,1,0,7,0,0,0
EIF2S3,2100,2639,2496,11963,11853,12097,7563,4555,6774,6070,6903
EIF3A,6588,8383,7176,10314,9655,9713,10744,5865,8135,7446,8564
EIF3B,2628,2537,2637,4048,4129,4121,4882,2617,4202,3527,4216
EIF3C,68,87,143,368,318,309,7643,3027,7252,5642,6498
EIF3CL,80,223,64,54,53,63,20,0,0,72,0
EIF3D,2610,2770,2330,4117,3348,3443,4562,2815,4154,3786,3860
EIF3E,2934,4674,4606,6538,6793,6712,13809,7187,12746,10364,12355
EIF3EP1,0,0,0,19,27,7,11,8,0,5,4
EIF3EP2,0,0,0,0,0,0,0,0,0,0,0
EIF3F,838,1243,1621,3546,3027,2997,7732,4156,7780,6142,6760
EIF3FP1,1,0,0,0,0,0,0,0,0,0,0
EIF3FP3,68,137,212,21,38,25,244,208,310,315,372
EIF3G,650,609,788,834,652,757,1782,1077,1508,1464,1244
EIF3H,1511,2367,2607,3513,2860,3138,4646,2644,4374,3535,3900
EIF3I,1596,1888,1669,3230,2319,2385,3150,1973,3102,2776,2514
EIF3IP1,0,0,0,0,0,1,0,0,0,0,0
EIF3J,3597,3311,2531,906,1157,1086,1457,693,968,889,1146
EIF3K,2290,2373,2169,2709,1903,2109,2059,1179,1895,1734,1610
EIF3KP1,2,1,0,0,0,0,0,0,0,0,0
EIF3KP2,0,0,0,0,0,0,0,0,0,0,0
EIF3KP3,0,0,0,0,0,0,0,0,0,0,0
EIF3L,4,4,10,4074,3413,3538,9139,5570,7408,7039,8139
EIF3LP1,0,0,0,0,0,0,0,0,0,0,0
EIF3LP2,1,5,4,0,1,0,0,0,0,0,0
EIF3LP3,0,0,0,1,0,1,0,0,1,0,0
EIF3M,1816,3135,2924,3315,3495,3278,5046,2886,5103,4257,4651
EIF4A1,107,86,61,203,269,267,17323,11005,15825,14553,13562
EIF4A1P1,0,0,0,0,1,1,0,0,0,0,0
EIF4A1P10,3,14,28,128,83,105,2,11,0,2,1
EIF4A1P11,1,0,0,0,0,0,1,0,1,0,0
EIF4A1P12,0,0,0,1,0,0,0,0,0,0,0
EIF4A1P13,0,0,0,0,0,0,0,0,0,0,0
EIF4A1P2,1,3,5,13,10,12,12,1,0,1,0
EIF4A1P3,0,0,0,0,3,0,0,0,0,0,0
EIF4A1P4,0,0,1,0,1,2,0,0,0,0,3
EIF4A1P5,0,0,0,2,1,0,0,0,0,0,0
EIF4A1P6,0,0,0,0,0,0,0,0,0,0,0
EIF4A1P7,2,5,3,1,0,1,0,1,0,0,0
EIF4A1P8,0,0,0,0,0,0,0,0,0,0,0
EIF4A1P9,0,0,0,1,0,0,0,0,0,0,9
EIF4A2,1003,1360,1337,8268,7796,7746,16217,9836,12295,11935,12241
EIF4A2P1,0,0,0,2,1,1,1,0,0,0,0
EIF4A2P2,0,0,1,10,10,9,0,0,0,3,0
EIF4A2P3,0,0,0,0,0,0,2,0,0,0,0
EIF4A2P4,0,0,0,3,1,2,0,0,0,0,0
EIF4A2P5,0,0,0,0,0,0,0,0,0,0,0
EIF4A3,1153,1869,1823,1290,1610,1532,1542,651,1299,1323,1260
EIF4A3P1,0,0,0,0,0,0,0,0,0,0,0
EIF4B,1124,1250,1434,16771,12091,12866,29626,14947,23604,21592,24026
EIF4BP1,0,0,0,0,0,0,0,0,0,0,0
EIF4BP2,2,0,0,0,0,0,0,0,0,1,0
EIF4BP3,83,74,91,52,23,31,0,0,1,1,3
EIF4BP4,0,0,0,0,0,0,0,0,0,0,0
EIF4BP5,0,1,0,0,0,0,0,0,0,0,0
EIF4BP6,20,23,16,141,140,121,10,15,2,1,4
EIF4BP7,15,13,18,52,28,39,45,40,63,52,76
EIF4BP8,0,0,0,2,0,0,0,0,0,0,0
EIF4BP9,0,0,0,0,0,0,0,0,0,0,0
EIF4E,1054,1197,1054,1963,2002,2107,4333,2592,3814,3318,3249
EIF4E1B,0,1,0,5,7,4,0,29,0,6,0
EIF4E2,2270,2051,1657,1188,1354,1284,2033,974,1530,1859,1689
EIF4E2P1,0,0,0,0,0,0,1,0,0,0,0
EIF4E2P2,0,0,0,0,0,0,0,0,0,1,0
EIF4E3,45,58,84,551,743,694,709,252,492,453,297
EIF4EBP1,523,507,624,605,307,412,952,504,870,670,623
EIF4EBP1P1,0,0,0,0,0,0,0,0,0,0,0
EIF4EBP2,1417,1470,1482,8828,9462,9137,5220,3127,4517,4728,4246
EIF4EBP2P1,0,0,0,0,0,0,0,0,0,0,0
EIF4EBP2P2,0,0,0,1,0,0,0,0,0,0,0
EIF4EBP2P3,0,0,0,0,0,0,0,0,0,0,0
EIF4EBP3,0,0,1,2,1,1,34,5,15,6,29
EIF4ENIF1,147,160,162,620,659,638,350,172,288,304,370
EIF4EP1,0,0,0,0,0,0,0,0,0,1,0
EIF4EP2,18,23,18,40,29,24,0,0,0,0,0
EIF4EP3,0,0,0,0,0,0,0,0,0,0,0
EIF4EP4,0,0,0,0,0,0,0,0,0,0,0
EIF4EP5,0,0,0,0,0,0,0,0,0,0,0
EIF4G1,3422,3761,3318,5253,8405,8163,7461,4259,6237,5048,5494
EIF4G2,13592,13943,12539,18279,17663,16801,11626,6651,12050,9477,8856
EIF4G3,815,1268,993,3755,4283,4025,1729,887,1593,1414,1517
EIF4H,149,499,593,4885,3905,4345,9103,5307,7842,6934,7516
EIF4HP1,2,7,5,17,12,10,1,0,0,6,1
EIF4HP2,0,4,1,2,5,4,14,0,0,8,0
EIF5,2783,3820,3594,2058,3189,2792,4593,2539,4039,3771,4322
EIF5A,2353,2093,2489,7151,5852,7286,6394,3258,4798,5139,4472
EIF5A2,40,30,50,100,129,120,271,175,295,251,81
EIF5A2P1,4,0,0,6,8,2,0,0,0,1,0
EIF5AL1,103,213,177,13,8,14,12,2,19,3,5
EIF5AP2,2,6,1,0,0,0,0,0,0,0,0
EIF5AP3,0,0,0,11,10,10,0,0,0,0,0
EIF5AP4,2,0,0,3,5,9,8,0,0,0,0
EIF5B,7829,8291,6915,3227,3697,3740,1997,740,2083,1153,2076
EIF5P1,10,25,17,0,0,0,0,0,0,1,0
EIF5P2,0,0,0,1,0,0,0,0,0,0,0
EIF6,2835,2009,1839,483,357,448,1116,681,943,967,1091
ELAC1,50,73,58,34,36,37,70,58,70,34,62
ELAC2,869,778,965,1462,1600,1603,1685,970,2176,1384,1419
ELANE,0,0,0,0,0,0,0,0,0,0,0
ELAVL1,777,1203,1126,2221,2179,2244,2298,1432,1795,1935,1765
ELAVL2,800,869,732,1569,1396,1355,1783,974,1241,1154,1407
ELAVL3,34,22,27,23,6,15,480,29,112,7,4
ELAVL4,101,71,70,32,19,32,2,22,7,23,0
ELF1,65,58,59,573,587,601,357,133,150,164,138
ELF2,344,444,434,1615,1300,1400,973,462,525,648,727
ELF3,22,37,30,69,38,74,50,75,137,111,39
ELF4,17,10,13,41,68,83,10,38,55,22,21
ELF5,4,0,0,0,0,0,0,0,0,0,0
ELFN1,20,34,21,63,30,43,122,57,108,84,92
ELFN2,3,5,4,21,10,11,54,34,36,28,53
ELK1,183,256,260,385,300,353,415,324,325,356,269
ELK1P1,0,0,0,0,0,0,0,0,0,0,0
ELK3,113,155,125,947,1245,1231,303,151,406,253,344
ELK4,85,94,118,2501,2806,2765,1096,530,852,670,947
ELL,124,156,151,111,89,130,233,161,378,171,492
ELL2,139,123,124,768,700,764,1142,643,1350,900,814
ELL2P1,1,0,4,0,0,2,0,0,0,1,0
ELL2P2,0,0,0,0,0,0,0,0,0,0,0
ELL2P3,0,0,0,0,0,0,0,0,0,0,0
ELL2P4,0,0,0,0,0,0,0,0,0,0,0
ELL3,0,0,0,6,7,4,20,52,34,50,19
ELMO1,26,46,21,710,661,651,291,72,435,104,193
ELMO2,81,127,90,727,693,677,689,221,499,426,407
ELMO2P1,0,0,0,0,0,0,0,0,0,0,0
ELMO3,12,28,19,28,21,33,99,43,87,85,141
ELMOD1,2,5,5,4,4,6,69,17,24,28,25
ELMOD2,251,346,329,953,1141,1120,1670,854,1606,1271,1323
ELMOD3,57,50,47,237,261,263,181,100,123,77,111
ELMSAN1,72,73,51,650,501,630,379,381,242,205,185
ELN,6,8,4,46,16,25,134,76,91,39,132
ELOF1,652,591,660,294,210,243,491,184,339,324,391
ELOVL1,61,43,51,240,290,283,257,90,102,160,157
ELOVL2,12,13,16,12,19,21,62,7,70,33,36
ELOVL3,0,0,0,7,2,1,13,10,0,12,21
ELOVL4,118,170,114,131,174,177,556,278,573,393,535
ELOVL5,532,716,559,4574,4004,4274,5449,2700,4393,4218,4615
ELOVL6,1367,1554,1466,2971,3528,3428,3964,2179,2145,2124,2507
ELOVL7,17,20,28,172,416,320,241,100,387,167,218
ELP2,485,569,599,3185,3037,3079,5148,2403,5457,3425,3879
ELP3,144,210,244,742,841,819,907,801,1159,1135,1068
ELP4,102,163,195,791,765,756,754,1010,970,572,774
ELP5,1415,1343,1395,438,373,440,431,436,488,408,539
ELP6,614,571,577,770,460,551,525,378,715,474,489
ELSPBP1,0,0,0,0,0,0,0,0,0,0,0
EMB,148,223,190,706,1357,1200,1265,1035,845,943,1163
EMBP1,0,0,0,94,74,92,340,251,275,258,295
EMC1,234,353,449,1839,2425,2221,1082,719,1372,760,1243
EMC10,112,188,154,636,564,680,1097,465,668,806,669
EMC2,377,456,365,574,660,670,628,294,904,530,470
EMC3,551,606,578,376,454,445,762,218,474,340,442
EMC3-AS1,0,0,0,326,484,495,325,152,69,130,389
EMC4,4,3,14,736,701,766,785,578,875,710,817
EMC6,0,0,1,183,229,237,263,81,232,228,263
EMC7,288,459,612,366,386,357,475,276,229,300,319
EMC8,736,765,805,413,396,398,377,325,665,473,388
EMC9,253,242,288,162,100,154,176,96,225,188,152
EMCN,1,0,0,0,0,0,0,0,0,0,0
EMD,1705,1201,1027,734,496,564,541,225,487,323,506
EME1,7,3,7,439,366,354,448,219,417,292,416
EME2,15,25,25,41,54,55,190,33,158,42,72
EMG1,1643,1560,1203,549,422,495,715,412,1139,467,738
EMID1,5,5,2,61,32,27,188,140,81,90,52
EMILIN1,1,3,4,19,14,11,92,34,107,86,73
EMILIN2,19,55,39,573,258,320,386,46,440,219,343
EMILIN3,0,0,0,82,78,88,259,148,255,147,141
EML1,102,106,131,301,429,375,299,111,361,186,129
EML2,251,208,172,494,338,423,580,192,383,345,514
EML3,68,71,64,251,231,254,274,222,405,188,141
EML4,975,1389,1284,4243,4991,4689,3186,1961,2939,2338,2662
EML5,7,8,0,6,14,20,45,33,91,44,51
EML6,7,3,0,35,25,20,285,19,115,57,175
EMP1,1,3,2,29,41,30,17,0,6,19,34
EMP2,120,138,148,152,246,281,294,257,602,499,410
EMP3,2,5,10,128,59,91,87,103,81,101,78
EMSY,148,211,197,1364,1567,1408,344,293,238,223,299
EMX1,0,0,13,1,3,1,129,44,49,38,59
EMX2,0,0,0,1,1,2,0,0,0,0,0
EN1,6,1,0,0,1,1,0,0,0,0,0
EN2,8,1,4,59,18,39,0,0,0,0,0
ENAH,4941,6056,5705,9520,8528,9038,15193,8597,12847,11074,13154
ENAM,0,0,0,0,0,0,0,0,0,0,0
ENC1,161,223,215,2064,1613,1635,265,137,236,235,191
ENDOD1,59,40,59,82,192,154,362,131,354,231,205
ENDOG,0,0,0,49,22,42,92,79,77,77,63
ENDOU,0,0,0,0,5,1,0,7,0,1,0
ENDOV,116,97,71,82,122,100,144,57,165,67,90
ENG,3,8,2,45,34,40,48,15,48,33,26
