Gene_Name,Processed_Ramadoss_iPSC_1,Processed_Ramadoss_iPSC_2,Processed_Ramadoss_iPSC_3,Processed_Lisowski_iPSC1,Processed_Lisowski_iPSC2,Processed_Lisowski_iPSC3,Processed_Susco_iPSC_1,Processed_Susco_iPSC_2,Processed_Susco_iPSC_3,Processed_Susco_iPSC_4,Processed_Susco_iPSC_5
ABHD16A,0,2,0,21,23,19,221,158,276,190,289
ABHD16B,0,0,0,0,0,0,61,57,30,38,23
ABHD17A,315,364,253,94,77,110,272,214,371,292,287
ABHD17AP1,4,0,3,0,0,0,0,0,0,1,0
ABHD17AP3,1,2,1,0,0,0,0,0,22,2,0
ABHD17AP4,0,0,1,0,0,1,0,0,0,0,0
ABHD17AP5,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP6,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP7,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP8,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP9,0,0,0,0,0,0,0,0,0,0,0
ABHD17B,494,534,595,918,949,955,1560,1032,1621,1192,1268
ABHD17C,640,601,557,366,418,336,360,231,234,306,384
ABHD18,124,139,161,518,603,650,546,285,420,462,454
ABHD2,171,210,168,1250,1405,1488,2412,1021,2122,1433,2883
ABHD3,17,26,26,111,207,175,101,43,173,106,58
ABHD4,131,198,214,910,581,719,476,319,646,320,596
ABHD5,199,231,256,131,233,210,672,168,258,265,353
ABHD6,28,16,29,110,88,97,188,33,197,63,85
ABHD8,65,36,38,40,21,17,85,49,122,99,104
ABI1,140,246,207,946,991,980,657,455,699,630,543
ABI2,864,1085,988,5256,4349,4675,3618,2480,3111,2467,3371
ABI3,7,11,14,4,4,7,2,21,41,16,49
ABI3BP,2,1,1,0,3,0,7,0,13,4,20
ABL1,700,700,697,2656,1870,2401,2375,1162,1818,1577,1645
ABL2,200,232,230,1725,2088,1943,1346,840,792,753,974
ABLIM1,699,702,669,2539,2525,2509,1385,816,1144,1506,1391
ABLIM2,10,11,13,15,24,30,151,15,75,20,41
ABLIM3,7,0,6,15,9,10,5,0,21,6,16
ABO,2,3,0,13,7,6,0,0,0,1,0
ABR,10,15,38,1049,614,778,112,19,111,16,71
ABRA,0,0,0,0,0,0,3,0,0,0,0
ABRACL,2004,1739,1561,755,1092,1058,1232,600,878,915,756
ABT1,1052,1004,628,232,236,241,449,273,350,337,408
ABT1P1,0,0,0,0,0,0,0,0,0,0,0
ABTB1,11,9,6,84,59,75,117,46,57,22,66
ABTB2,116,144,142,260,220,251,118,111,95,84,183
AC000041,1,0,2,0,0,0,0,4,43,0,0
AC000077,0,0,0,0,0,0,0,0,0,0,0
AC000078,0,0,0,0,0,0,0,0,0,0,0
AC000081,0,0,0,2,2,8,0,0,0,0,0
AC000089,93,81,79,7,2,2,1,0,1,0,3
AC000095,0,0,0,0,1,0,0,0,0,0,0
AC000111,0,0,0,0,0,0,0,0,0,0,0
AC000362,0,0,0,0,0,0,0,0,0,0,0
AC000367,0,0,3,0,0,0,1,0,0,3,0
AC000374,0,0,0,0,0,0,0,0,0,0,0
AC002056,1,2,3,3,1,3,0,0,0,0,0
AC002069,0,1,0,1,0,0,0,0,0,0,0
AC002075,0,0,0,8,14,6,0,1,0,0,0
AC002127,0,0,0,0,0,0,0,0,0,0,0
AC002310,14,20,19,35,41,60,0,10,0,4,0
AC002366,0,0,0,0,0,0,0,0,0,0,0
AC002398,0,0,0,0,0,0,39,0,9,0,3
AC002400,0,0,0,0,0,1,18,13,0,5,0
AC002429,0,0,0,5,3,4,0,0,0,0,0
AC002486,0,0,2,1,1,7,0,0,0,0,0
AC002519,0,0,0,3,4,6,0,0,0,0,0
AC002542,1,0,0,0,0,0,0,0,0,0,0
AC002543,0,0,0,0,0,0,0,8,11,5,15
AC002553,2,4,6,0,0,0,0,0,0,0,0
AC002984,0,0,0,0,0,0,0,0,0,0,0
AC002985,0,0,0,0,0,0,0,0,0,0,0
AC003002,0,0,0,0,0,0,10,0,0,0,0
AC003005,0,0,0,0,0,0,23,0,20,0,11
AC003006,0,0,0,0,0,0,0,21,0,0,0
AC003045,0,0,0,0,0,0,0,0,0,0,0
AC003080,4,0,0,18,10,20,0,0,0,0,0
AC003682,0,0,0,3,8,6,0,0,0,0,0
AC003958,0,0,0,0,0,0,0,0,0,0,0
AC003973,0,0,0,0,0,0,0,0,0,0,0
AC003989,0,0,0,0,0,0,7,0,0,2,0
AC004004,0,0,0,0,0,0,0,0,0,0,0
AC004006,0,0,0,0,0,0,0,0,0,0,0
AC004022,0,0,0,0,0,0,0,0,0,0,0
AC004057,19,31,52,12,7,4,0,324,576,195,462
AC004062,0,0,0,0,0,0,0,0,0,0,0
AC004066,0,0,0,0,0,0,0,0,0,0,0
AC004069,1,5,2,0,1,0,0,0,0,0,0
AC004074,0,0,0,0,0,0,0,0,0,0,0
AC004076,0,0,0,1,0,0,16,6,23,7,7
AC004129,0,0,0,0,0,0,0,0,0,1,0
AC004381,0,0,0,177,217,203,203,278,274,145,219
AC004383,0,0,0,7,4,0,0,0,0,0,0
AC004386,0,3,1,0,0,1,2,0,1,0,1
AC004453,76,81,125,14,9,14,10,0,1,1,0
AC004461,0,0,0,0,0,0,0,0,0,1,0
AC004692,0,0,0,0,0,1,0,0,0,0,0
AC004837,0,0,0,0,0,0,0,0,0,0,0
AC004840,0,0,0,0,0,0,0,0,0,0,0
AC004854,0,0,0,0,0,0,0,0,0,0,0
AC004866,0,0,0,0,0,0,0,0,0,0,0
AC004870,0,0,0,0,0,0,0,0,0,0,0
AC004893,0,0,0,0,0,0,0,0,0,6,0
AC004899,0,0,0,1,0,0,0,0,0,0,0
AC004911,0,0,0,0,0,0,0,0,0,0,0
AC004920,0,0,0,0,0,0,0,0,0,0,0
AC004938,0,0,0,0,0,0,0,0,0,0,0
AC004941,0,1,0,0,1,2,0,0,0,0,0
AC004945,0,0,0,0,0,0,0,0,0,0,0
AC004951,1,3,1,21,55,52,6,10,36,3,0
AC004967,0,0,0,24,45,49,9,0,0,3,16
AC004980,0,0,0,22,47,47,0,0,6,0,0
AC004987,0,0,0,0,0,0,0,0,0,0,0
AC005008,0,0,0,0,0,0,0,0,0,0,0
AC005014,0,0,1,0,0,1,0,0,0,0,0
AC005019,0,2,0,1,0,0,0,0,0,0,0
AC005033,0,0,0,0,2,3,0,0,0,0,0
AC005034,0,0,0,0,0,0,0,0,0,0,0
AC005040,0,0,0,0,0,0,0,0,0,0,0
AC005041,4,2,6,0,0,0,0,6,0,0,0
AC005042,0,0,0,1,1,0,0,0,8,3,1
AC005077,0,0,0,4,9,4,6,0,0,2,0
AC005086,0,5,2,0,0,0,0,0,0,2,0
AC005094,0,0,0,0,0,0,0,0,0,0,0
AC005102,0,0,0,0,0,0,0,0,0,0,0
AC005105,0,0,0,0,0,0,0,0,0,0,0
AC005154,77,55,51,577,725,698,0,0,0,1,0
